"cdm_manifest","cdm_manifest_path","cdm_source_file","cdm_entity_name","cdm_attribute_name","cdm_display_name","description","cdm_semantic_meanings","cdm_data_type","cdm_data_format","is_primary_key","is_nullable","is_foreign_key","cdm_related_manifest","cdm_related_entity","cdm_related_attribute","cdm_related_manifest_source_file","dbt_schema_name","dbt_model_name","dbt_column_name","dbt_related_schema_name","dbt_related_model_name","dbt_related_column_name","dbt_data_type","duckdb_data_type","bigquery_data_type","pandas_data_type","dbt_labels"
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountCategoryCode","Category","Select a category to indicate whether the customer account is standard or preferred.","","int32","CdmDataFormat.INT32","False","","False","","","","","application_common","account","account_category_code","","","","INT","INTEGER","INT64","Int32",""
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountCategoryCode_display","","","means.reference.displayText","string","CdmDataFormat.STRING","False","","False","","","","","application_common","account","account_category_code_display","","","","STRING","VARCHAR","STRING","object","category:reference|subcategory:displayText|role:dimension"
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountClassificationCode","Classification","Select a classification code to indicate the potential value of the customer account based on the projected return on investment, cooperation level, sales cycle length or other criteria.","","int32","CdmDataFormat.INT32","False","","False","","","","","application_common","account","account_classification_code","","","","INT","INTEGER","INT64","Int32",""
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountClassificationCode_display","","","means.reference.displayText","string","CdmDataFormat.STRING","False","","False","","","","","application_common","account","account_classification_code_display","","","","STRING","VARCHAR","STRING","object","category:reference|subcategory:displayText|role:dimension"
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountId","Account","Unique identifier of the account.","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","application_common","account","account_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountNumber","Account Number","Type an ID number or code for the account to quickly search and identify the account in system views.","","string","CdmDataFormat.STRING","False","","False","","","","","application_common","account","account_number","","","","STRING","VARCHAR","STRING","object",""
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountRatingCode","Account Rating","Select a rating to indicate the value of the customer account.","","int32","CdmDataFormat.INT32","False","","False","","","","","application_common","account","account_rating_code","","","","INT","INTEGER","INT64","Int32",""
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","accountRatingCode_display","","","means.reference.displayText","string","CdmDataFormat.STRING","False","","False","","","","","application_common","account","account_rating_code_display","","","","STRING","VARCHAR","STRING","object","category:reference|subcategory:displayText|role:dimension"
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","addressAddressTypeCode","Address Type","Select the address type, such as primary or billing.","","int32","CdmDataFormat.INT32","False","","False","","","","","application_common","account","address_address_type_code","","","","INT","INTEGER","INT64","Int32",""
"applicationCommon","local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json","Account.1.3.cdm.json/Account","Account","addressAddressTypeCode_display","","","means.reference.displayText","string","CdmDataFormat.STRING","False","","False","","","","","application_common","account","address_address_type_code_display","","","","STRING","VARCHAR","STRING","object","category:reference|subcategory:displayText|role:dimension"
