"cdm_manifest","cdm_manifest_path","cdm_source_file","cdm_entity_name","cdm_attribute_name","cdm_display_name","description","cdm_semantic_meanings","cdm_data_type","cdm_data_format","is_primary_key","is_nullable","is_foreign_key","cdm_related_manifest","cdm_related_entity","cdm_related_attribute","cdm_related_manifest_source_file","dbt_schema_name","dbt_model_name","dbt_column_name","dbt_related_schema_name","dbt_related_model_name","dbt_related_column_name","dbt_data_type","duckdb_data_type","bigquery_data_type","pandas_data_type","dbt_labels"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Case.1.0.cdm.json/Case","Case","incidentId","Case","Unique identifier of the case.","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","case","incident_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Case.1.0.cdm.json/Case","Case","msrex_CustomerAsset","Customer Asset","","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","True","Asset","CustomerAsset","id","local:/Retail/Asset/Asset.manifest.cdm.json","asset","case","msrex_customer_asset","asset","customer_asset","id","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Case.1.0.cdm.json/Case","Case","msrex_PreferredExecutionDate","Preferred Execution Date","","means.measurement.date","date","CdmDataFormat.DATE","False","","False","","","","","asset","case","msrex_preferred_execution_date","","","","","","","","category:measurement|subcategory:date|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Case.1.0.cdm.json/Case","Case","msrex_RequestType","Request Type","","","int32","CdmDataFormat.INT32","False","","False","","","","","asset","case","msrex_request_type","","","","INT","INTEGER","INT64","Int32",""
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Case.1.0.cdm.json/Case","Case","msrex_Visit","Visit","","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","True","Asset","Visit","id","local:/Retail/Asset/Asset.manifest.cdm.json","asset","case","msrex_visit","asset","visit","id","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","CustomerAsset.1.0.cdm.json/CustomerAsset","CustomerAsset","customerassetId","Customer Asset","Shows the entity instances.","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","customer_asset","customerasset_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","CustomerAsset.1.0.cdm.json/CustomerAsset","CustomerAsset","msrex_InstallationDate","Installation Date","","means.measurement.date","date","CdmDataFormat.DATE","False","","False","","","","","asset","customer_asset","msrex_installation_date","","","","","","","","category:measurement|subcategory:date|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","CustomerAsset.1.0.cdm.json/CustomerAsset","CustomerAsset","msrex_SerialNumber","Serial Number","","","string","CdmDataFormat.STRING","False","","False","","","","","asset","customer_asset","msrex_serial_number","","","","STRING","VARCHAR","STRING","object",""
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","CustomerAssetCategory.1.0.cdm.json/CustomerAssetCategory","CustomerAssetCategory","customerassetcategoryId","Customer Asset Category","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","customer_asset_category","customerassetcategory_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","FunctionalLocation.1.0.cdm.json/FunctionalLocation","FunctionalLocation","functionalLocationId","Functional Location","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","functional_location","functional_location_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Product.1.0.cdm.json/Product","Product","msrex_msdyn_customerassetcategory","Customer Asset Category","","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","True","Asset","CustomerAssetCategory","id","local:/Retail/Asset/Asset.manifest.cdm.json","asset","product","msrex_msdyn_customerassetcategory","asset","customer_asset_category","id","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Product.1.0.cdm.json/Product","Product","productId","Product","Unique identifier of the product.","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","product","product_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Asset","local:/Retail/Asset/Asset.1.0.manifest.cdm.json","Visit.1.0.cdm.json/Visit","Visit","visitId","Visit","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","asset","visit","visit_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
