"cdm_manifest","cdm_manifest_path","cdm_source_file","cdm_entity_name","cdm_attribute_name","cdm_display_name","description","cdm_semantic_meanings","cdm_data_type","cdm_data_format","is_primary_key","is_nullable","is_foreign_key","cdm_related_manifest","cdm_related_manifest_source_file","dbt_schema_name","dbt_model_name","dbt_column_name","dbt_related_schema_name","dbt_related_model_name","dbt_related_column_name","dbt_data_type","duckdb_data_type","bigquery_data_type","pandas_data_type","dbt_labels"
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/attributeGroupSet","attributeGroupSet","attributeGroupReference","","","","unknown","CdmDataFormat.UNKNOWN","False","","False","","","cdmfoundation","attribute_group_set","attribute_group_reference","","","","","","","",""
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","primitives.2.0.cdm.json/defaultArtifacts","defaultArtifacts","count","","","","int32","CdmDataFormat.INT32","False","","False","","","cdmfoundation","default_artifacts","count","","","","INT","INTEGER","INT64","Int32",""
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","primitives.2.0.cdm.json/defaultArtifacts","defaultArtifacts","id","","","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","cdmfoundation","default_artifacts","id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","primitives.2.0.cdm.json/defaultArtifacts","defaultArtifacts","type","","","means.entityName","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","default_artifacts","type","","","","STRING","VARCHAR","STRING","object","category:entityName|role:dimension"
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/entityGroupSet","entityGroupSet","attributeReference","","","","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","entity_group_set","attribute_reference","","","","STRING","VARCHAR","STRING","object",""
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/entityGroupSet","entityGroupSet","entityReference","","","means.entityName","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","entity_group_set","entity_reference","","","","STRING","VARCHAR","STRING","object","category:entityName|role:dimension"
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/entitySet","entitySet","attributeReference","","","","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","entity_set","attribute_reference","","","","STRING","VARCHAR","STRING","object",""
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/entitySet","entitySet","entityReference","","","means.entityName","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","entity_set","entity_reference","","","","STRING","VARCHAR","STRING","object","category:entityName|role:dimension"
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","foundations.3.0.cdm.json/entitySet","entitySet","relationshipName","","","","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","entity_set","relationship_name","","","","STRING","VARCHAR","STRING","object",""
"cdmfoundation","local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json","primitives.2.0.cdm.json/FileInfo","FileInfo","fileName","","","means.fileName","string","CdmDataFormat.STRING","False","","False","","","cdmfoundation","file_info","file_name","","","","STRING","VARCHAR","STRING","object","category:fileName|role:dimension"
