cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,auditResponseId,Audit response,Unique identifier of the response,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,activities,audit_response,audit_response_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,activities,audit_response,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,activities,audit_response,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,statecode,Status,Status of the Audit Response,means.entityState,int32,CdmDataFormat.INT32,False,,False,,,,,activities,audit_response,statecode,,,,INT,INTEGER,INT64,Int32,category:entityState|role:dimension
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,statuscode,Status Reason,Reason for the status of the Audit Response,,int32,CdmDataFormat.INT32,False,,False,,,,,activities,audit_response,statuscode,,,,INT,INTEGER,INT64,Int32,
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,activities,audit_response,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,activities,audit_response,overridden_created_on,,,,,,,,category:measurement|subcategory:date|role:dimension
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,activities,audit_response,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,UTCConversionTimeZoneCode,UTC Conversion Time Zone Code,Time zone code that was in use when the record was created.,,int32,CdmDataFormat.INT32,False,,False,,,,,activities,audit_response,utc_conversion_time_zone_code,,,,INT,INTEGER,INT64,Int32,
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,name,Name,Subject / title of the audit response,,string,CdmDataFormat.STRING,False,,False,,,,,activities,audit_response,name,,,,STRING,VARCHAR,STRING,object,
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,AuditResponse.1.0.cdm.json/AuditResponse,AuditResponse,auditdefinition,Audit definition,Lookup for audit definition,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOACommon,AuditDefinition,id,local:/Retail/SOACommon/SOACommon.manifest.cdm.json,activities,audit_response,auditdefinition,soa_common,audit_definition,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
