cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,AssetId,,,,string,CdmDataFormat.STRING,False,,True,productInsights,Asset,id,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.manifest.cdm.json,budgeting,budget_plan_asset_lookup_entity,asset_id,product_insights,asset,id,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,name,,,,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,InstanceRelationType,Party type,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,KnownAs,Known as,,,string,CdmDataFormat.STRING,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,known_as,,,,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,language_id,,,,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,NameAlias,,,,string,CdmDataFormat.STRING,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,name_alias,,,,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PartyNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,party_number,,,,STRING,VARCHAR,STRING,object,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryAddressLocation,,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_address_location,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactEmail,Email address,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_email,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactFax,Fax,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_fax,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactPhone,Phone,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_phone,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactTelex,Telex,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_telex,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactURL,URL,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_url,,,,BIGINT,BIGINT,INT64,Int64,
Budgeting,local:/core/operationsCommon/Entities/Finance/Budgeting/Budgeting.1.2.manifest.cdm.json,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity,PrimaryContactFacebook,Facebook,,,int64,CdmDataFormat.INT64,False,,False,,,,,budgeting,budget_plan_asset_lookup_entity,primary_contact_facebook,,,,BIGINT,BIGINT,INT64,Int64,
