cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,RetailChannelId,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,retail_channel_id,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,OperatingUnitNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,operating_unit_number,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,OperatingUnitPartyNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,operating_unit_party_number,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,Currency,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,currency,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,ChannelTimeZone,,,,int64,CdmDataFormat.INT64,False,,False,,,,,call_center,retail_call_center_entity,channel_time_zone,,,,BIGINT,BIGINT,INT64,Int64,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,ChannelTimeZoneInfoId,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,channel_time_zone_info_id,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,ChannelType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,call_center,retail_call_center_entity,channel_type,,,,BIGINT,BIGINT,INT64,Int64,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,DefaultCustomerAccount,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,default_customer_account,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,DefaultCustomerLegalEntity,,,,string,CdmDataFormat.STRING,False,,False,,,,,call_center,retail_call_center_entity,default_customer_legal_entity,,,,STRING,VARCHAR,STRING,object,
CallCenter,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/CallCenter/CallCenter.1.1.manifest.cdm.json,RetailCallCenterEntity.1.1.cdm.json/RetailCallCenterEntity,RetailCallCenterEntity,DefaultDimension,,,,int64,CdmDataFormat.INT64,False,,False,,,,,call_center,retail_call_center_entity,default_dimension,,,,BIGINT,BIGINT,INT64,Int64,
