cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,circularitydesignprincipleId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,circularitydesignprinciple_id,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,created_on,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,modified_on,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,statecode,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,statuscode,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,import_sequence_number,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,overridden_created_on,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,time_zone_rule_version_number,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,UTCConversionTimeZoneCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,utc_conversion_time_zone_code,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,name,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,name,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,description,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,description,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,followscircularitydesignprinciples,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,followscircularitydesignprinciples,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,sustainabilityitemsku,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,sustainabilityitemsku,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,CircularityDesignPrinciple,origincorrelationid,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,origincorrelationid,,,,,,,,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,FacilityItemConsumption,facilityitemconsumptionId,Facility item consumption id,The unique identifier of the item consumed in a facility.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,facilityitemconsumption_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,FacilityItemConsumption,TTLInSeconds,Time to live,Time to live in seconds.,,int32,CdmDataFormat.INT32,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,ttl_in_seconds,,,,INT,INTEGER,INT64,Int32,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,FacilityItemConsumption,partitionId,Partition Id,Logical partition id. A logical partition consists of a set of records with same partition id.,,string,CdmDataFormat.STRING,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,partition_id,,,,STRING,VARCHAR,STRING,object,
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,FacilityItemConsumption,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,FacilityItemConsumption,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
