cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,Facility.1.0.cdm.json/Facility,Facility,facilityId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,facility,facility_id,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,Facility.1.0.cdm.json/Facility,Facility,waterbasin,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,facility,waterbasin,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,Facility.1.0.cdm.json/Facility,Facility,waterriskindex,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,facility,waterriskindex,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,storedwaterId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,storedwater_id,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,TTLInSeconds,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,ttl_in_seconds,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,partitionId,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,partition_id,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,created_on,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,modified_on,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,import_sequence_number,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,overridden_created_on,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,name,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,name,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,actualstorage,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,actualstorage,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,description,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,description,,,,,,,,
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,StoredWater.1.0.cdm.json/StoredWater,StoredWater,facility,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_water_data_model_cd_mmanifest,stored_water,facility,,,,,,,,
