cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,ClosingDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,closing_date,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,ClosingTime,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,closing_time,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,OpeningDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,opening_date,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,OpeningTime,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,opening_time,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,ShiftDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,shift_date,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,ShiftId,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,shift_id,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,StatementCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,statement_code,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,StatementMethod,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,statement_method,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,Status,,,,string,CdmDataFormat.STRING,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,status,,,,STRING,VARCHAR,STRING,object,
CommerceEmployees,local:/core/operationsCommon/Entities/Commerce/CommerceEmployees/CommerceEmployees.1.1.manifest.cdm.json,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity,StoreRecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,commerce_employees,retail_store_work_shift_tran_entity,store_rec_id,,,,BIGINT,BIGINT,INT64,Int64,
