cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,CostType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,cost_management,aco_cost_center_type_entity,cost_type,,,,BIGINT,BIGINT,INT64,Int64,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,DimensionAttributeValue,,,,int64,CdmDataFormat.INT64,False,,False,,,,,cost_management,aco_cost_center_type_entity,dimension_attribute_value,,,,BIGINT,BIGINT,INT64,Int64,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,aco_cost_center_type_entity,name,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,Value,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,aco_cost_center_type_entity,value,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,EntityInstance,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,aco_cost_center_type_entity,entity_instance,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,Key,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,aco_cost_center_type_entity,key,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,cost_management,aco_cost_center_type_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,ACOCostCenterTypeEntity.1.2.cdm.json/ACOCostCenterTypeEntity,ACOCostCenterTypeEntity,Relationship_DimensionAttributeValueRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,DimensionAttributeValue,id,local:/core/operationsCommon/Tables/Finance/FinancialDimensions/Main/Main.manifest.cdm.json,cost_management,aco_cost_center_type_entity,relationship_dimension_attribute_value_relationship_id,main,dimension_attribute_value,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,AccountingDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,accounting_date,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,CostAmount,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,cost_amount,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,CostResourceId,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,cost_resource_id,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,CostResourceType,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,cost_resource_type,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,Quantity,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,quantity,,,,STRING,VARCHAR,STRING,object,
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,CostStatementEntryV2Entity.1.2.cdm.json/CostStatementEntryV2Entity,CostStatementEntryV2Entity,CostStatementType,,,,string,CdmDataFormat.STRING,False,,False,,,,,cost_management,cost_statement_entry_v2_entity,cost_statement_type,,,,STRING,VARCHAR,STRING,object,
