cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,diagnostic_core,body_site,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,createdBy,Created By,Unique identifier of the user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,diagnostic_core,body_site,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,diagnostic_core,body_site,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,modifiedBy,Modified By,Unique identifier of the user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,diagnostic_core,body_site,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,diagnostic_core,body_site,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,diagnostic_core,body_site,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,diagnostic_core,body_site,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,diagnostic_core,body_site,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,diagnostic_core,body_site,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,BodySite.1.2.cdm.json/BodySite,BodySite,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,diagnostic_core,body_site,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
