cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,RefTableId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,ref_table_id,,,,BIGINT,BIGINT,INT64,Int64,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,TypeId,,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,type_id,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,PropertyType,,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,property_type,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,TableName,,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,table_name,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,Type,,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_applicability_setup_entity,type,,,,BIGINT,BIGINT,INT64,Int64,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeApplicabilitySetupEntity.1.2.cdm.json/EInvoicePropertyTypeApplicabilitySetupEntity,EInvoicePropertyTypeApplicabilitySetupEntity,Relationship_EInvoicePropertyTypeTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Parameter,EInvoicePropertyTypeTable,id,local:/core/operationsCommon/Tables/Finance/EInvoice/Parameter/Parameter.manifest.cdm.json,e_invoice,e_invoice_property_type_applicability_setup_entity,relationship_e_invoice_property_type_table_relationship_id,parameter,e_invoice_property_type_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,Custom,Custom,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,custom,,,,BIGINT,BIGINT,INT64,Int64,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,DescriptionLabel,Description,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,description_label,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,GroupDescriptionLabel,Group description,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,group_description_label,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,Type,,,,string,CdmDataFormat.STRING,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,type,,,,STRING,VARCHAR,STRING,object,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,Sorting,,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,sorting,,,,BIGINT,BIGINT,INT64,Int64,
EInvoice,local:/core/operationsCommon/Entities/Finance/EInvoice/EInvoice.1.2.manifest.cdm.json,EInvoicePropertyTypeTableEntity.1.2.cdm.json/EInvoicePropertyTypeTableEntity,EInvoicePropertyTypeTableEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,e_invoice,e_invoice_property_type_table_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
