cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,financial,account,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,createdBy,Created By,Unique identifier of the user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,financial,account,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,modifiedBy,Modified By,Unique identifier of the user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,financial,account,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,owningBusinessUnit,Owning Business Unit,Unique identifier for the business unit that owns the record,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,owning_business_unit,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,owningUser,Owning User,Unique identifier for the user that owns the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,owning_user,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,owningTeam,Owning Team,Unique identifier for the team that owns the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,Team,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,financial,account,owning_team,soa_clienteling,team,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,UTCConversionTimeZoneCode,UTC Conversion Time Zone Code,Time zone code that was in use when the record was created.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,utc_conversion_time_zone_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,versionNumber,Version Number,Version Number,means.measurement.version,int64,CdmDataFormat.INT64,False,,False,,,,,financial,account,version_number,,,,BIGINT,BIGINT,INT64,Int64,category:measurement|subcategory:version|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountId,Account,Unique identifier of the account with which the contact is associated.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,financial,account,account_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountCategoryCode,Category,Select a category to indicate whether the customer account is standard or preferred.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,account_category_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountCategoryCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,account_category_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,customerSizeCode,Customer Size,Select the size of the contact's company for segmentation and reporting purposes.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,customer_size_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,customerSizeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,customer_size_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,preferredContactMethodCode,Preferred Method of Contact,Select the preferred method of contact.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,preferred_contact_method_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,preferredContactMethodCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,preferred_contact_method_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,customerTypeCode,Relationship Type,Select the category that best describes the relationship between the contact and your organization.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,customer_type_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,customerTypeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,customer_type_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountRatingCode,Account Rating,Select a rating to indicate the value of the customer account.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,account_rating_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountRatingCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,account_rating_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,industryCode,Industry,Select the account's primary industry for use in marketing segmentation and demographic analysis.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,industry_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,industryCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,industry_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,territoryCode,Territory,Select a region or territory for the contact for use in segmentation and analysis.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,territory_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,territoryCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,territory_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountClassificationCode,Classification,"Select a classification code to indicate the potential value of the customer account based on the projected return on investment, cooperation level, sales cycle length or other criteria.",,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,account_classification_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,accountClassificationCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,account_classification_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,businessTypeCode,Business Type,Select the legal designation or other business type of the account for contracts or reporting purposes.,,int32,CdmDataFormat.INT32,False,,False,,,,,financial,account,business_type_code,,,,INT,INTEGER,INT64,Int32,
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,Account.1.2.cdm.json/Account,Account,businessTypeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial,account,business_type_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
