cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,Value,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,value,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,name,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,Txt,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,txt,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,DataAreaId,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,data_area_id,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,Relationship_CompanyRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,CompanyInfo,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,financial_dimensions,dim_attribute_trv_travel_txt_entity,relationship_company_relationship_id,main,company_info,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,InstanceRelationType,Party type,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,KnownAs,Known as,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,known_as,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,language_id,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,NameAlias,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,name_alias,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PartyNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,party_number,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryAddressLocation,,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_address_location,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactEmail,Email address,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_email,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactFax,Fax,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_fax,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactPhone,Phone,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_phone,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactTelex,Telex,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_telex,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactURL,URL,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_url,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactFacebook,Facebook,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_facebook,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactTwitter,Twitter,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_twitter,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,PrimaryContactLinkedIn,LinkedIn,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,primary_contact_linked_in,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,AddressBookNames,,,,string,CdmDataFormat.STRING,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,address_book_names,,,,STRING,VARCHAR,STRING,object,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,LegacyInstanceRelationType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,financial_dimensions,dim_attribute_trv_travel_txt_entity,legacy_instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
FinancialDimensions,local:/core/operationsCommon/Entities/Finance/FinancialDimensions/FinancialDimensions.1.2.manifest.cdm.json,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity,Relationship_LanguageTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Group,LanguageTable,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Group/Group.manifest.cdm.json,financial_dimensions,dim_attribute_trv_travel_txt_entity,relationship_language_table_relationship_id,group,language_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
