cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,accountId,Account,Unique identifier of the account.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,financial_services_common_data_model_cd_mmanifest,account,account_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,Branch,Branch,The primary branch of the bank associated with the account.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,RetailBankingCoreDataModel,Branch,id,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.manifest.cdm.json,financial_services_common_data_model_cd_mmanifest,account,branch,retail_banking_core_data_model,branch,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,JoinDate,Join date,The date the account joined the bank.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,account,join_date,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,Tenureyears,Tenure,Number of years the account has held accounts at the bank.,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,account,tenureyears,,,,NUMERIC,DECIMAL,NUMERIC,float64,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,contactId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,financial_services_common_data_model_cd_mmanifest,contact,contact_id,,,,,,,,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,Branch,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,contact,branch,,,,,,,,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,IsManagedByBankSystem,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,contact,is_managed_by_bank_system,,,,,,,,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,JoinDate,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,contact,join_date,,,,,,,,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,Tenureyears,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,financial_services_common_data_model_cd_mmanifest,contact,tenureyears,,,,,,,,
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,Applicationdocument.1.1.cdm.json/ApplicationDocument,ApplicationDocument,applicationDocumentId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,financial_services_common_data_model_cd_mmanifest,application_document,application_document_id,,,,,,,,
