cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_field,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,Category,,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,expression_projection_field,category,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,DisplayName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_field,display_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,ExpressionDatasource,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_field,expression_datasource,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,ExtendedDataType,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_field,extended_data_type,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_field,name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,Type,,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,expression_projection_field,type,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,ExpressionTable,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_field,expression_table,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,ParentDatasource,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_field,parent_datasource,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,TableName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_field,table_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,ExpressionProjectionField,Relationship_ExpressionRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Framework,ExpressionTable,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.manifest.cdm.json,framework,expression_projection_field,relationship_expression_relationship_id,framework,expression_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,AifSqlCdcEnabledTables.1.1.cdm.json/AifSqlCdcEnabledTables,AifSqlCdcEnabledTables,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,aif_sql_cdc_enabled_tables,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,AifSqlCdcEnabledTables.1.1.cdm.json/AifSqlCdcEnabledTables,AifSqlCdcEnabledTables,PhysicalTableName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,aif_sql_cdc_enabled_tables,physical_table_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,AifSqlCdcEnabledTables.1.1.cdm.json/AifSqlCdcEnabledTables,AifSqlCdcEnabledTables,Scope,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,aif_sql_cdc_enabled_tables,scope,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,AifSqlCdcEnabledTables.1.1.cdm.json/AifSqlCdcEnabledTables,AifSqlCdcEnabledTables,TableName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,aif_sql_cdc_enabled_tables,table_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_datasource,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,DisplayName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_datasource,display_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,ExpressionTable,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_datasource,expression_table,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_datasource,name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,ParentDatasource,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,expression_projection_datasource,parent_datasource,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,TableName,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,expression_projection_datasource,table_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,Type,,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,expression_projection_datasource,type,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,ExpressionProjectionDatasource,Relationship_ExpressionRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Framework,ExpressionTable,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.manifest.cdm.json,framework,expression_projection_datasource,relationship_expression_relationship_id,framework,expression_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,release_update_bulk_copy_log,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,BulkCopyId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,framework,release_update_bulk_copy_log,bulk_copy_id,,,,BIGINT,BIGINT,INT64,Int64,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,Company,Company accounts,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,release_update_bulk_copy_log,company,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,DataPartition,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,release_update_bulk_copy_log,data_partition,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,JobInfo,Time statistics,,,binary,CdmDataFormat.BINARY,False,,False,,,,,framework,release_update_bulk_copy_log,job_info,,,,,,,,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,directSql,,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,release_update_bulk_copy_log,direct_sql,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,HasTransformations,Has transformations,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,release_update_bulk_copy_log,has_transformations,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,IsPerCompany,Is per company,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,release_update_bulk_copy_log,is_per_company,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,newtableid,Target table ID,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,release_update_bulk_copy_log,newtableid,,,,INT,INTEGER,INT64,Int32,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,newtablename,Target table name,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,release_update_bulk_copy_log,newtablename,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,newTableSqlName,Target table Sql name,,,string,CdmDataFormat.STRING,False,,False,,,,,framework,release_update_bulk_copy_log,new_table_sql_name,,,,STRING,VARCHAR,STRING,object,
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog,NumberOfFieldErrors,Field errors,,,int32,CdmDataFormat.INT32,False,,False,,,,,framework,release_update_bulk_copy_log,number_of_field_errors,,,,INT,INTEGER,INT64,Int32,
