cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,RoomId,,,,string,CdmDataFormat.STRING,False,,True,EventManagement,Room,id,local:/Marketing/EventManagement/EventManagement.manifest.cdm.json,gab,fias_room_entity,room_id,event_management,room,id,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,RoomGuid,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,room_guid,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,RegionCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,region_code,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,HouseGuid,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,house_guid,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,FlatNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,flat_number,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,FlatType,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,flat_type,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PostalCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,postal_code,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,StartDate,,,means.measurement.date,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,gab,fias_room_entity,start_date,,,,,,,,category:measurement|subcategory:date|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,EndDate,,,means.measurement.date,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,gab,fias_room_entity,end_date,,,,,,,,category:measurement|subcategory:date|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,DataAreaId,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,data_area_id,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_CompanyRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,CompanyInfo,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,gab,fias_room_entity,relationship_company_relationship_id,main,company_info,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,InstanceRelationType,Party type,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,KnownAs,Known as,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,known_as,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,language_id,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,name,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,NameAlias,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,name_alias,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PartyNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,party_number,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryAddressLocation,,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_address_location,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactEmail,Email address,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_email,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactFax,Fax,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_fax,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactPhone,Phone,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_phone,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactTelex,Telex,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_telex,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactURL,URL,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_url,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactFacebook,Facebook,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_facebook,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactTwitter,Twitter,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_twitter,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,PrimaryContactLinkedIn,LinkedIn,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,primary_contact_linked_in,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,AddressBookNames,,,,string,CdmDataFormat.STRING,False,,False,,,,,gab,fias_room_entity,address_book_names,,,,STRING,VARCHAR,STRING,object,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,LegacyInstanceRelationType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,gab,fias_room_entity,legacy_instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_LanguageTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Group,LanguageTable,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Group/Group.manifest.cdm.json,gab,fias_room_entity,relationship_language_table_relationship_id,group,language_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_LogisticsElectronicAddress_EmailRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,LogisticsElectronicAddress,id,local:/core/operationsCommon/Tables/Common/GAB/Main/Main.manifest.cdm.json,gab,fias_room_entity,relationship_logistics_electronic_address_email_relationship_id,main,logistics_electronic_address,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_LogisticsElectronicAddress_FaxRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,LogisticsElectronicAddress,id,local:/core/operationsCommon/Tables/Common/GAB/Main/Main.manifest.cdm.json,gab,fias_room_entity,relationship_logistics_electronic_address_fax_relationship_id,main,logistics_electronic_address,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_LogisticsElectronicAddress_PhoneRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,LogisticsElectronicAddress,id,local:/core/operationsCommon/Tables/Common/GAB/Main/Main.manifest.cdm.json,gab,fias_room_entity,relationship_logistics_electronic_address_phone_relationship_id,main,logistics_electronic_address,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GAB,local:/core/operationsCommon/Entities/Common/GAB/GAB.1.2.manifest.cdm.json,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,FiasRoomEntity,Relationship_LogisticsElectronicAddress_TelexRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,LogisticsElectronicAddress,id,local:/core/operationsCommon/Tables/Common/GAB/Main/Main.manifest.cdm.json,gab,fias_room_entity,relationship_logistics_electronic_address_telex_relationship_id,main,logistics_electronic_address,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
