cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,group,currency_online_conversion,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,Affix,,,,int32,CdmDataFormat.INT32,False,,False,,,,,group,currency_online_conversion,affix,,,,INT,INTEGER,INT64,Int32,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,CurrencyCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,group,currency_online_conversion,currency_code,,,,STRING,VARCHAR,STRING,object,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,group,currency_online_conversion,name,,,,STRING,VARCHAR,STRING,object,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,CurrencyCodeISO,Currency code,,,string,CdmDataFormat.STRING,False,,False,,,,,group,currency_online_conversion,currency_code_iso,,,,STRING,VARCHAR,STRING,object,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,IsEuro,Reference currency for triangulation,,,int32,CdmDataFormat.INT32,False,,False,,,,,group,currency_online_conversion,is_euro,,,,INT,INTEGER,INT64,Int32,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundingPrecision,General rounding rule,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,group,currency_online_conversion,rounding_precision,,,,NUMERIC,DECIMAL,NUMERIC,float64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundOffAssetDep_JP,Rounding rule,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,group,currency_online_conversion,round_off_asset_dep_jp,,,,NUMERIC,DECIMAL,NUMERIC,float64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundOffPrice,Rounding rule,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,group,currency_online_conversion,round_off_price,,,,NUMERIC,DECIMAL,NUMERIC,float64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundOffPurch,Rounding rule,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,group,currency_online_conversion,round_off_purch,,,,NUMERIC,DECIMAL,NUMERIC,float64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundOffSales,Rounding rule,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,group,currency_online_conversion,round_off_sales,,,,NUMERIC,DECIMAL,NUMERIC,float64,
Group,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.1.2.manifest.cdm.json,CurrencyOnlineConversion.1.2.cdm.json/CurrencyOnlineConversion,CurrencyOnlineConversion,RoundOffTypeAssetDep_JP,Rounding method,,,int32,CdmDataFormat.INT32,False,,False,,,,,group,currency_online_conversion,round_off_type_asset_dep_jp,,,,INT,INTEGER,INT64,Int32,
