cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,hcmcourseparticipantstatusbyemailentityId,Course Participant Status by Email (mserp),Unique identifier for entity instances,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,hrm,course_participant_status_by_email_mserp,hcmcourseparticipantstatusbyemailentity_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,primaryfield,Primary Field,,,string,CdmDataFormat.STRING,False,,False,,,,,hrm,course_participant_status_by_email_mserp,primaryfield,,,,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,status,Status,,,int32,CdmDataFormat.INT32,False,,False,,,,,hrm,course_participant_status_by_email_mserp,status,,,,INT,INTEGER,INT64,Int32,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,useremail,User email,,,string,CdmDataFormat.STRING,False,,False,,,,,hrm,course_participant_status_by_email_mserp,useremail,,,,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,courseid,Course ID,,,string,CdmDataFormat.STRING,False,,True,higherEducation,Course,id,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.manifest.cdm.json,hrm,course_participant_status_by_email_mserp,courseid,higher_education,course,id,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,firstname,First name,,,string,CdmDataFormat.STRING,False,,False,,,,,hrm,course_participant_status_by_email_mserp,firstname,,,,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,lastname,Last name,,,string,CdmDataFormat.STRING,False,,False,,,,,hrm,course_participant_status_by_email_mserp,lastname,,,,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,duedate,Due date,,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,hrm,course_participant_status_by_email_mserp,duedate,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,dataareaid,Company Code,,,string,CdmDataFormat.STRING,False,,False,,,,,hrm,course_participant_status_by_email_mserp,dataareaid,,,,STRING,VARCHAR,STRING,object,
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp,dataAreaId_id,Company,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,insightsApplications,Company,id,local:/manifests/insightsApplications.manifest.cdm.json,hrm,course_participant_status_by_email_mserp,data_area_id_id,insights_applications,company,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
