cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,main,cust_table,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,PaymTermId,,,,string,CdmDataFormat.STRING,False,,True,Group,PaymTerm,id,local:/core/operationsCommon/Tables/Finance/Bank/Group/Group.manifest.cdm.json,main,cust_table,paym_term_id,group,paym_term,id,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,LineDisc,Line discount,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,line_disc,,,,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,TaxWithholdGroup_TH,,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,tax_withhold_group_th,,,,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,PartyCountry,,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,party_country,,,,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,AccountNum,,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,account_num,,,,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,AccountStatement,,,,int32,CdmDataFormat.INT32,False,,False,,,,,main,cust_table,account_statement,,,,INT,INTEGER,INT64,Int32,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,Affiliated_RU,,,,int32,CdmDataFormat.INT32,False,,False,,,,,main,cust_table,affiliated_ru,,,,INT,INTEGER,INT64,Int32,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,AgencyLocationCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,agency_location_code,,,,STRING,VARCHAR,STRING,object,
Main,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.1.2.manifest.cdm.json,CustTable.1.2.cdm.json/CustTable,CustTable,BankAccount,,,,string,CdmDataFormat.STRING,False,,False,,,,,main,cust_table,bank_account,,,,STRING,VARCHAR,STRING,object,
