cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,CurrencyFrom,From currency,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,currency_from,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,CurrencyTo,To currency,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,currency_to,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,CurrencyTriangulation,Triangulation currency,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,currency_triangulation,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,DataArea,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,data_area,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,DataAreaTableAll,,,,int32,CdmDataFormat.INT32,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,data_area_table_all,,,,INT,INTEGER,INT64,Int32,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,ExchangeRateType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,exchange_rate_type,,,,BIGINT,BIGINT,INT64,Int64,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,ExchangeRateTypeTableAll,,,,int32,CdmDataFormat.INT32,False,,False,,,,,miscellaneous,exchange_rate_currency_pair_calculation_rules,exchange_rate_type_table_all,,,,INT,INTEGER,INT64,Int32,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,Relationship_CurrencyFromRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,nonProfitAccelerator,Currency,id,local:/manifests/nonProfitAccelerator.manifest.cdm.json,miscellaneous,exchange_rate_currency_pair_calculation_rules,relationship_currency_from_relationship_id,non_profit_accelerator,currency,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,Relationship_CurrencyToRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,nonProfitAccelerator,Currency,id,local:/manifests/nonProfitAccelerator.manifest.cdm.json,miscellaneous,exchange_rate_currency_pair_calculation_rules,relationship_currency_to_relationship_id,non_profit_accelerator,currency,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,Relationship_CurrencyTriangulationRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,nonProfitAccelerator,Currency,id,local:/manifests/nonProfitAccelerator.manifest.cdm.json,miscellaneous,exchange_rate_currency_pair_calculation_rules,relationship_currency_triangulation_relationship_id,non_profit_accelerator,currency,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateCurrencyPairCalculationRules.1.2.cdm.json/ExchangeRateCurrencyPairCalculationRules,ExchangeRateCurrencyPairCalculationRules,Relationship_ExchangeRateTypeRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Group,ExchangeRateType,id,local:/core/operationsCommon/Tables/Common/Currency/Group/Group.manifest.cdm.json,miscellaneous,exchange_rate_currency_pair_calculation_rules,relationship_exchange_rate_type_relationship_id,group,exchange_rate_type,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfiguration,,,,int64,CdmDataFormat.INT64,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,exchange_rate_provider_configuration,,,,BIGINT,BIGINT,INT64,Int64,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,Key,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,key,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,Value,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,value,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,Id,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,id,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,name,,,,STRING,VARCHAR,STRING,object,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfigurationDetails.1.2.cdm.json/ExchangeRateProviderConfigurationDetails,ExchangeRateProviderConfigurationDetails,Type,,,,int32,CdmDataFormat.INT32,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration_details,type,,,,INT,INTEGER,INT64,Int32,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfiguration.1.1.cdm.json/ExchangeRateProviderConfiguration,ExchangeRateProviderConfiguration,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Miscellaneous,local:/core/operationsCommon/Tables/Common/Currency/Miscellaneous/Miscellaneous.1.2.manifest.cdm.json,ExchangeRateProviderConfiguration.1.1.cdm.json/ExchangeRateProviderConfiguration,ExchangeRateProviderConfiguration,Id,,,,string,CdmDataFormat.STRING,False,,False,,,,,miscellaneous,exchange_rate_provider_configuration,id,,,,STRING,VARCHAR,STRING,object,
