cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,IsDefault,Default,,,int64,CdmDataFormat.INT64,False,,False,,,,,online_store,retail_online_channel_language_entity,is_default,,,,BIGINT,BIGINT,INT64,Int64,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,language_id,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,OnlineChannel,,,,int64,CdmDataFormat.INT64,False,,False,,,,,online_store,retail_online_channel_language_entity,online_channel,,,,BIGINT,BIGINT,INT64,Int64,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,OperatingUnitNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,operating_unit_number,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,OMOperatingUnitID,,,,string,CdmDataFormat.STRING,False,,True,Main,OMOperatingUnit,id,local:/core/operationsCommon/Tables/Common/GAB/Main/Main.manifest.cdm.json,online_store,retail_online_channel_language_entity,om_operating_unit_id,main,om_operating_unit,id,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,ChannelTimeZone,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,channel_time_zone,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,TimeZoneIdentifier,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,time_zone_identifier,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,ChannelType,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,channel_type,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,Currency,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,currency,,,,STRING,VARCHAR,STRING,object,
OnlineStore,local:/core/operationsCommon/Entities/Commerce/ChannelManagement/OnlineStore/OnlineStore.1.1.manifest.cdm.json,RetailOnlineChannelLanguageEntity.1.1.cdm.json/RetailOnlineChannelLanguageEntity,RetailOnlineChannelLanguageEntity,DefaultCustomerAccount,,,,string,CdmDataFormat.STRING,False,,False,,,,,online_store,retail_online_channel_language_entity,default_customer_account,,,,STRING,VARCHAR,STRING,object,
