cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,BatchGroup,,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,batch_group,,,,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,DefaultLanguage,Default language code,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,default_language,,,,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,Description,,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,description,,,,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,EmailId,,,,string,CdmDataFormat.STRING,False,,True,higherEducationAccelerator,Email,id,local:/manifests/higherEducationAccelerator.manifest.cdm.json,organization_administration,email_template_organization_entity,email_id,higher_education_accelerator,email,id,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,Priority,Priority,,,int64,CdmDataFormat.INT64,False,,False,,,,,organization_administration,email_template_organization_entity,priority,,,,BIGINT,BIGINT,INT64,Int64,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,SenderAddress,,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,sender_address,,,,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,SenderName,Sender name,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,sender_name,,,,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,organization_administration,email_template_organization_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,BatchGroupId,,,,string,CdmDataFormat.STRING,False,,True,Group,BatchGroup,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Group/Group.manifest.cdm.json,organization_administration,email_template_organization_entity,batch_group_id,group,batch_group,id,STRING,VARCHAR,STRING,object,
OrganizationAdministration,local:/core/operationsCommon/Entities/System/OrganizationAdministration/OrganizationAdministration.1.2.manifest.cdm.json,EmailTemplateOrganizationEntity.1.2.cdm.json/EmailTemplateOrganizationEntity,EmailTemplateOrganizationEntity,SenderAddr,Sender email,,,string,CdmDataFormat.STRING,False,,False,,,,,organization_administration,email_template_organization_entity,sender_addr,,,,STRING,VARCHAR,STRING,object,
