cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,FAInventoryNumber,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,fa_inventory_number,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,ActualReturnDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,actual_return_date,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,DateOfLease,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,date_of_lease,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,Leaseholder,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,leaseholder,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,ExpectedReturnDate,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,expected_return_date,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,Location,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_asset,r_asset_lending_entity,location,,,,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_asset,r_asset_lending_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,AssetId,,,,string,CdmDataFormat.STRING,False,,True,productInsights,Asset,id,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.manifest.cdm.json,r_asset,r_asset_lending_entity,asset_id,product_insights,asset,id,STRING,VARCHAR,STRING,object,
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,AssetLendActRet,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,r_asset,r_asset_lending_entity,asset_lend_act_ret,,,,,,,,category:measurement|subcategory:date|role:dimension
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,RAssetLendingEntity,AssetLendDate,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,r_asset,r_asset_lending_entity,asset_lend_date,,,,,,,,category:measurement|subcategory:date|role:dimension
