cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,Code,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,code,,,,STRING,VARCHAR,STRING,object,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,Derive,Inherit,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,derive,,,,BIGINT,BIGINT,INT64,Int64,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,name,,,,STRING,VARCHAR,STRING,object,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,OperationTypeDefault,,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,operation_type_default,,,,BIGINT,BIGINT,INT64,Int64,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,DataAreaId,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,data_area_id,,,,STRING,VARCHAR,STRING,object,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,Relationship_CompanyRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,CompanyInfo,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,r_sales_purch_books,facture_operation_code_entity,relationship_company_relationship_id,main,company_info,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,InstanceRelationType,Party type,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,KnownAs,Known as,,,string,CdmDataFormat.STRING,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,known_as,,,,STRING,VARCHAR,STRING,object,
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,FactureOperationCodeEntity.1.2.cdm.json/FactureOperationCodeEntity,FactureOperationCodeEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_sales_purch_books,facture_operation_code_entity,language_id,,,,STRING,VARCHAR,STRING,object,
