cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,IntervalGroup,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,interval_group,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,Description,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,description,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,name,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,DataAreaId,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,data_area_id,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,Relationship_CompanyRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,CompanyInfo,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,r_tax25,r_tax25_ledger_interval_group_entity,relationship_company_relationship_id,main,company_info,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,InstanceRelationType,Party type,,,int64,CdmDataFormat.INT64,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,instance_relation_type,,,,BIGINT,BIGINT,INT64,Int64,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,KnownAs,Known as,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,known_as,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,LanguageId,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,language_id,,,,STRING,VARCHAR,STRING,object,
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity,NameAlias,,,,string,CdmDataFormat.STRING,False,,False,,,,,r_tax25,r_tax25_ledger_interval_group_entity,name_alias,,,,STRING,VARCHAR,STRING,object,
