cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,ISOCurrencyCode.1.1.cdm.json/ISOCurrencyCode,ISOCurrencyCode,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,reference,iso_currency_code,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,ISOCurrencyCode.1.1.cdm.json/ISOCurrencyCode,ISOCurrencyCode,ISCCurrencyCodeAlpha,,,,string,CdmDataFormat.STRING,False,,False,,,,,reference,iso_currency_code,isc_currency_code_alpha,,,,STRING,VARCHAR,STRING,object,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,ISOCurrencyCode.1.1.cdm.json/ISOCurrencyCode,ISOCurrencyCode,ISOCurrencyCodeNum,,,,int32,CdmDataFormat.INT32,False,,False,,,,,reference,iso_currency_code,iso_currency_code_num,,,,INT,INTEGER,INT64,Int32,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,ISOCurrencyCode.1.1.cdm.json/ISOCurrencyCode,ISOCurrencyCode,ISOCurrencyName,,,,string,CdmDataFormat.STRING,False,,False,,,,,reference,iso_currency_code,iso_currency_name,,,,STRING,VARCHAR,STRING,object,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,reference,currency_gender,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,Currency,,,,string,CdmDataFormat.STRING,False,,False,,,,,reference,currency_gender,currency,,,,STRING,VARCHAR,STRING,object,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,Gender,,,,int32,CdmDataFormat.INT32,False,,False,,,,,reference,currency_gender,gender,,,,INT,INTEGER,INT64,Int32,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,CurrencyCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,reference,currency_gender,currency_code,,,,STRING,VARCHAR,STRING,object,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,CurrencyCodeISO,Currency code,,,string,CdmDataFormat.STRING,False,,False,,,,,reference,currency_gender,currency_code_iso,,,,STRING,VARCHAR,STRING,object,
Reference,local:/core/operationsCommon/Tables/Common/Currency/Reference/Reference.1.2.manifest.cdm.json,CurrencyGender.1.2.cdm.json/CurrencyGender,CurrencyGender,IsEuro,Reference currency for triangulation,,,int32,CdmDataFormat.INT32,False,,False,,,,,reference,currency_gender,is_euro,,,,INT,INTEGER,INT64,Int32,
