cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,accountId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,account,account_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,contactId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,contact,contact_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Bank.1.0.cdm.json/Bank,Bank,bankId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,bank,bank_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Branch.1.0.cdm.json/Branch,Branch,branchId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,branch,branch_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Group.1.0.cdm.json/Group,Group,groupId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,group,group_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Groupmember.1.0.cdm.json/GroupMember,GroupMember,groupMemberId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,group_member,group_member_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,customerfinancialholdingId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,customerfinancialholding_id,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,created_on,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,modified_on,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,statecode,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,statuscode,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,import_sequence_number,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,overridden_created_on,,,,,,,,
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,CustomerFinancialHolding,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,time_zone_rule_version_number,,,,,,,,
