cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,BusinessUnit.1.0.cdm.json/BusinessUnit,BusinessUnit,businessUnitId,Business Unit,Unique identifier of the business unit.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,soa_clienteling,business_unit,business_unit_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,contactId,Contact,Unique identifier of the contact.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,soa_clienteling,contact,contact_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,msret_LanguageOfPreference,Language Of Preference,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,LanguageOfPreference,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,soa_clienteling,contact,msret_language_of_preference,soa_clienteling,language_of_preference,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,msret_LoyaltyCard,Loyalty Card,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,,LoyaltyCard,id,,soa_clienteling,contact,msret_loyalty_card,,loyalty_card,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,msret_MainPhone,Main Phone,,,string,CdmDataFormat.STRING,False,,False,,,,,soa_clienteling,contact,msret_main_phone,,,,STRING,VARCHAR,STRING,object,
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,CustomerDerivedBrandInsight,customerDerivedBrandInsightId,Customer Derived Brand Insight,Unique identifier for entity instances,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,soa_clienteling,customer_derived_brand_insight,customer_derived_brand_insight_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,CustomerDerivedBrandInsight,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,soa_clienteling,customer_derived_brand_insight,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,CustomerDerivedBrandInsight,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,soa_clienteling,customer_derived_brand_insight,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,CustomerDerivedBrandInsight,statecode,Status,Status of the Customer Derived Brand Insight,means.entityState,int32,CdmDataFormat.INT32,False,,False,,,,,soa_clienteling,customer_derived_brand_insight,statecode,,,,INT,INTEGER,INT64,Int32,category:entityState|role:dimension
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,CustomerDerivedBrandInsight,statuscode,Status Reason,Reason for the status of the Customer Derived Brand Insight,,int32,CdmDataFormat.INT32,False,,False,,,,,soa_clienteling,customer_derived_brand_insight,statuscode,,,,INT,INTEGER,INT64,Int32,
