cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,BudgetReservationType_Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,budget_reservation_type_name,,,,STRING,VARCHAR,STRING,object,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,DefinitionGroup,,,,string,CdmDataFormat.STRING,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,definition_group,,,,STRING,VARCHAR,STRING,object,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,ExecutionId,,,,string,CdmDataFormat.STRING,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,execution_id,,,,STRING,VARCHAR,STRING,object,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,IsSelected,,,,int32,CdmDataFormat.INT32,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,is_selected,,,,INT,INTEGER,INT64,Int32,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,TransferStatus,,,,int32,CdmDataFormat.INT32,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,transfer_status,,,,INT,INTEGER,INT64,Int32,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,BudgetReservationJournalizingType,,,,int32,CdmDataFormat.INT32,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,budget_reservation_journalizing_type,,,,INT,INTEGER,INT64,Int32,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,BudgetReservationTypeCode,Posting definition type,,,int32,CdmDataFormat.INT32,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,budget_reservation_type_code,,,,INT,INTEGER,INT64,Int32,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,PostingDefinition,,,,string,CdmDataFormat.STRING,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,posting_definition,,,,STRING,VARCHAR,STRING,object,
Staging,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Staging/Staging.1.2.manifest.cdm.json,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN.1.2.cdm.json/JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,JournalizingTransactionPostingDefinitionBudgetReservationStaging_PSN,BudgetReservationTypeName,,,,string,CdmDataFormat.STRING,False,,False,,,,,staging,journalizing_transaction_posting_definition_budget_reservation_staging_psn,budget_reservation_type_name,,,,STRING,VARCHAR,STRING,object,
