cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,ChargeType,,,,int64,CdmDataFormat.INT64,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,charge_type,,,,BIGINT,BIGINT,INT64,Int64,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,Description,,,,string,CdmDataFormat.STRING,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,description,,,,STRING,VARCHAR,STRING,object,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,ExcludeFromRecovery,Exclude from tax recovery,,,int64,CdmDataFormat.INT64,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,exclude_from_recovery,,,,BIGINT,BIGINT,INT64,Int64,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,name,,,,STRING,VARCHAR,STRING,object,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,SharedCategory,,,,int64,CdmDataFormat.INT64,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,shared_category,,,,BIGINT,BIGINT,INT64,Int64,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,SystemCreated,,,,int64,CdmDataFormat.INT64,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,system_created,,,,BIGINT,BIGINT,INT64,Int64,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,SharedCategoryId,,,,string,CdmDataFormat.STRING,False,,True,Reference,SharedCategory,id,local:/core/operationsCommon/Tables/Common/EMPAShared/Reference/Reference.manifest.cdm.json,travel_and_expense,trv_shared_sub_category_entity,shared_category_id,reference,shared_category,id,STRING,VARCHAR,STRING,object,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,CategoryId,,,,string,CdmDataFormat.STRING,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,category_id,,,,STRING,VARCHAR,STRING,object,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,CategoryName,,,,string,CdmDataFormat.STRING,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,category_name,,,,STRING,VARCHAR,STRING,object,
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,TrvSharedSubCategoryEntity.1.2.cdm.json/TrvSharedSubCategoryEntity,TrvSharedSubCategoryEntity,ExpenseType,,,,string,CdmDataFormat.STRING,False,,False,,,,,travel_and_expense,trv_shared_sub_category_entity,expense_type,,,,STRING,VARCHAR,STRING,object,
