cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,Description,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,description,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,name,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,Status,,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_entity,status,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,WorkItemType,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,work_item_type,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,WorkItemTypeFriendlyName,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,work_item_type_friendly_name,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,WorkitemType,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,workitem_type,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity,WorkitemTypeFriendlyName,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_entity,workitem_type_friendly_name,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,Description,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,description,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,EvaluationOrder,Evaluation order,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,evaluation_order,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,Expression,,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,expression,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,Name,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,name,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueue,Queue name,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,workflow_work_item_queue,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,WorkFlowWorkItemQueueExpressionDef,,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,work_flow_work_item_queue_expression_def,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,ExpressionId,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,expression_id,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,WorkItemQueueName,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,work_item_queue_name,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,WorkItemQueueType,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,work_item_queue_type,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,WorkItemType,,,,string,CdmDataFormat.STRING,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,work_item_type,,,,STRING,VARCHAR,STRING,object,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,workflow,workflow_work_item_queue_assignment_rule_entity,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,Relationship_ExpressionTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Framework,ExpressionTable,id,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.manifest.cdm.json,workflow,workflow_work_item_queue_assignment_rule_entity,relationship_expression_table_relationship_id,framework,expression_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Workflow,local:/core/operationsCommon/Entities/System/Workflow/Workflow.1.2.manifest.cdm.json,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity,Relationship_WorkflowWorkItemQueueRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Framework,WorkflowWorkItemQueue,id,local:/core/operationsCommon/Tables/System/Workflow/Framework/Framework.manifest.cdm.json,workflow,workflow_work_item_queue_assignment_rule_entity,relationship_workflow_work_item_queue_relationship_id,framework,workflow_work_item_queue,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
