cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Approved,,,,int32,CdmDataFormat.INT32,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,approved,,,,INT,INTEGER,INT64,Int32,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,CustAccount,Buyer,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,cust_account,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,FactureDateExternal,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,facture_date_external,,,,,,,,category:measurement|subcategory:date|role:dimension
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,FactureExternalId,,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,facture_external_id,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,LineAmountMST,The amount in the accounting currency,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,line_amount_mst,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Margin,Margin,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,margin,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,MarginVAT,VAT on margin,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,margin_vat,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Price,,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,price,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Qty,Quantity,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,qty,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefFactureJour,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_facture_jour,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefInventTrans,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_invent_trans,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefInvoiceJour,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_invoice_jour,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefInvoiceTrans,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_invoice_trans,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefPurchInventTrans,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_purch_invent_trans,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefVendInvoiceJour,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_vend_invoice_jour,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,RefVendInvoiceTrans,,,,int64,CdmDataFormat.INT64,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,ref_vend_invoice_trans,,,,BIGINT,BIGINT,INT64,Int64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,ReportId,,,,string,CdmDataFormat.STRING,False,,True,nonProfitForSales,Report,id,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/nonProfit/nonProfitForSales/nonProfitForSales.manifest.cdm.json,worksheet_line,comm_report_trans_item_ru,report_id,non_profit_for_sales,report,id,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Unit,,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,unit,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,VATAmountMST,,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,vat_amount_mst,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,VATValue,VAT value,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,vat_value,,,,NUMERIC,DECIMAL,NUMERIC,float64,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,VendAccount,Seller,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,vend_account,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,DataAreaId,,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,data_area_id,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,AgreementId,,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,agreement_id,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Closed,Closed,,,int32,CdmDataFormat.INT32,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,closed,,,,INT,INTEGER,INT64,Int32,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,EndDate,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,end_date,,,,,,,,category:measurement|subcategory:date|role:dimension
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,PartnerCode,Partner code,,,string,CdmDataFormat.STRING,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,partner_code,,,,STRING,VARCHAR,STRING,object,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,PartnerType,Partner type,,,int32,CdmDataFormat.INT32,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,partner_type,,,,INT,INTEGER,INT64,Int32,
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,StartDate,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,worksheet_line,comm_report_trans_item_ru,start_date,,,,,,,,category:measurement|subcategory:date|role:dimension
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Relationship_AgreementHeaderExt_RURelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,TransactionHeader,AgreementHeaderExt_RU,id,local:/core/operationsCommon/Tables/Finance/APARShared/TransactionHeader/TransactionHeader.manifest.cdm.json,worksheet_line,comm_report_trans_item_ru,relationship_agreement_header_ext_ru_relationship_id,transaction_header,agreement_header_ext_ru,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Relationship_CustTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,CustTable,id,local:/core/operationsCommon/Tables/Common/Customer/Main/Main.manifest.cdm.json,worksheet_line,comm_report_trans_item_ru,relationship_cust_table_relationship_id,main,cust_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
WorksheetLine,local:/core/operationsCommon/Tables/Common/GAB/WorksheetLine/WorksheetLine.1.2.manifest.cdm.json,CommReportTransItem_RU.1.2.cdm.json/CommReportTransItem_RU,CommReportTransItem_RU,Relationship_VendTableRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,Main,VendTable,id,local:/core/operationsCommon/Tables/SupplyChain/Vendor/Main/Main.manifest.cdm.json,worksheet_line,comm_report_trans_item_ru,relationship_vend_table_relationship_id,main,vend_table,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
