cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,core,cds_standard,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,createdBy,Created By,Shows who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,core,cds_standard,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,core,cds_standard,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,modifiedBy,Modified By,Shows who last updated the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,core,cds_standard,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,createdOnBehalfBy,Created By (Delegate),Shows who created the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,core,cds_standard,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,modifiedOnBehalfBy,Modified By (Delegate),Shows who last updated the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,core,cds_standard,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,core,cds_standard,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,importSequenceNumber,Import Sequence Number,Unique identifier of the data import or data migration that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,core,cds_standard,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,core,cds_standard,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
core,local:/core/core.1.5.1.manifest.cdm.json,wellKnownCDSAttributeGroups.1.3.cdm.json/CdsStandard,CdsStandard,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,core,cds_standard,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
