cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,CustomerJourneyId,,,,guid,CdmDataFormat.GUID,False,,True,MarketingSolution,CustomerJourney,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,default,action_event,customer_journey_id,marketing_solution,customer_journey,id,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,JourneyActionId,,,,guid,CdmDataFormat.GUID,False,,False,,,,,default,action_event,journey_action_id,,,,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,JourneyRunId,,,,guid,CdmDataFormat.GUID,False,,False,,,,,default,action_event,journey_run_id,,,,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,MessageId,,,,guid,CdmDataFormat.GUID,False,,False,,,,,default,action_event,message_id,,,,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,ActionStatus,,,,string,CdmDataFormat.STRING,False,,False,,,,,default,action_event,action_status,,,,STRING,VARCHAR,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,ContactId,,,,guid,CdmDataFormat.GUID,False,,True,CloudforSustainabilitySharedDataModel,Contact,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,default,action_event,contact_id,cloudfor_sustainability_shared_data_model,contact,id,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,AccountId,,,,guid,CdmDataFormat.GUID,False,,True,CloudforSustainabilitySharedDataModel,Account,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,default,action_event,account_id,cloudfor_sustainability_shared_data_model,account,id,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,LeadId,,,,guid,CdmDataFormat.GUID,False,,True,MarketingSolution,Lead,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,default,action_event,lead_id,marketing_solution,lead,id,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,IsUnresolvedProfile,,,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,default,action_event,is_unresolved_profile,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,EntityId,,,,guid,CdmDataFormat.GUID,False,,False,,,,,default,action_event,entity_id,,,,STRING,UUID,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,EntityName,,,,string,CdmDataFormat.STRING,False,,False,,,,,default,action_event,entity_name,,,,STRING,VARCHAR,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,ParentActionId,,,,string,CdmDataFormat.STRING,False,,False,,,,,default,action_event,parent_action_id,,,,STRING,VARCHAR,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,Reason,,,,string,CdmDataFormat.STRING,False,,False,,,,,default,action_event,reason,,,,STRING,VARCHAR,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,BusinessUnitId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,default,action_event,business_unit_id,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,InternalMarketingInteractionId,,,,string,CdmDataFormat.STRING,False,,False,,,,,default,action_event,internal_marketing_interaction_id,,,,STRING,VARCHAR,STRING,object,
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,actionevent.1.0.cdm.json/ActionEvent,ActionEvent,OrganizationId,,,,guid,CdmDataFormat.GUID,False,,True,electronicMedicalRecordsAccelerator,Organization,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,default,action_event,organization_id,electronic_medical_records_accelerator,organization,id,STRING,UUID,STRING,object,
