cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,createdOn,Created On,Shows the date and time when the record was created. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,product_insights,asset,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,createdBy,Created By,Unique identifier of the user who created the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,modifiedOn,Modified On,Shows the date and time when the record was last updated. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,product_insights,asset,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,modifiedBy,Modified By,Unique identifier of the user who last modified the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who last modified the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,product_insights,asset,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,product_insights,asset,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,product_insights,asset,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,owningBusinessUnit,Owning Business Unit,Shows the business unit that the record owner belongs to.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,owning_business_unit,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,owningUser,Owning User,Unique identifier of the user that owns the activity.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,owning_user,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,owningTeam,Owning Team,Unique identifier for the team that owns the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,Team,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,product_insights,asset,owning_team,soa_clienteling,team,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,product_insights,asset,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,UTCConversionTimeZoneCode,UTC Conversion Time Zone Code,Time zone code that was in use when the record was created.,,int32,CdmDataFormat.INT32,False,,False,,,,,product_insights,asset,utc_conversion_time_zone_code,,,,INT,INTEGER,INT64,Int32,
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,versionNumber,Version Number,Version number of the customer address.,means.measurement.version,int64,CdmDataFormat.INT64,False,,False,,,,,product_insights,asset,version_number,,,,BIGINT,BIGINT,INT64,Int64,category:measurement|subcategory:version|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Asset.1.3.cdm.json/Asset,Asset,assetId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,product_insights,asset,asset_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Signal.1.3.cdm.json/Signal,Signal,signalTime,Signal Timestamp,DateTime signal was sent from device. DateTime value stored as UTC. Field is required.,means.measurement.date|means.measurement.time|means.measurement.date.occurrence,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,product_insights,signal,signal_time,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:occurrence
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Signal.1.3.cdm.json/Signal,Signal,timezone,Timezone,"Timezone as captured from signal during ingestion. Server stores timezone as specified on signal.timestamp, unless device directly specifies this value.",means.location.timezone,string,CdmDataFormat.STRING,False,,False,,,,,product_insights,signal,timezone,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:timezone|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Signal.1.3.cdm.json/Signal,Signal,name,Name,Name of the product.,means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,product_insights,signal,name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Signal.1.3.cdm.json/Signal,Signal,version,Signal Version,"Version of signal, as defined by device",means.measurement.version,string,CdmDataFormat.STRING,False,,False,,,,,product_insights,signal,version,,,,STRING,VARCHAR,STRING,object,category:measurement|subcategory:version|role:dimension
productInsights,local:/core/applicationCommon/foundationCommon/productInsights/productInsights.1.3.manifest.cdm.json,Signal.1.3.cdm.json/Signal,Signal,serverTime,Server Timestamp,DateTime signal was received ingested by server,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,product_insights,signal,server_time,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
