cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,competitorId,Competitor ,Unique identifier of the competitor.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,sales,competitor,competitor_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,createdOn,Created On,Date and time when the user was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,sales,competitor,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,createdBy,Created By,Shows who created the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,sales,competitor,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,systemUserId,User,Unique identifier for the user.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,sales,competitor,system_user_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,id,Organization Id,Unique identifier for the organization,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,electronicMedicalRecordsAccelerator,Organization,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,sales,competitor,id,electronic_medical_records_accelerator,organization,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,businessUnitId,Business Unit,Unique identifier of the business unit.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,sales,competitor,business_unit_id,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,name,Name,Type the company or business name used to identify the competitor in data views and related records.,means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,description,Description,Description of the business unit.,,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,description,,,,STRING,VARCHAR,STRING,object,
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,divisionName,Division,Name of the division to which the business unit belongs.,means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,division_name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,fileAsName,File as Name,Alternative name under which the business unit can be filed.,means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,file_as_name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,tickerSymbol,Ticker Symbol,Type the stock exchange symbol for the competitor to track financial performance of the company. You can click the code entered in this field to access the latest trading information from MSN Money.,means.identity.tickerSymbol,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,ticker_symbol,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:tickerSymbol|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,stockExchange,Stock Exchange,Type the stock exchange at which the competitor is listed to track their stock and financial performance of the company.,means.identity.tickerSymbol,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,stock_exchange,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:tickerSymbol|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,UTCOffset,UTC Offset,UTC offset for the business unit. This is the difference between local time and standard Coordinated Universal Time.,means.location.timezone,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,utc_offset,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:timezone|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,sales,competitor,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,creditLimit,Credit Limit,Credit limit for the business unit.,,double,CdmDataFormat.DOUBLE,False,,False,,,,,sales,competitor,credit_limit,,,,FLOAT,DOUBLE,FLOAT64,float64,
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,costCenter,Cost Center,Name of the business unit cost center.,,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,cost_center,,,,STRING,VARCHAR,STRING,object,
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,webSiteUrl,Website,Type the website URL for the competitor.,means.reference.URL,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,web_site_url,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:URL|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,ftpSiteUrl,FTP Site,FTP site URL for the business unit.,means.reference.URL,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,ftp_site_url,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:URL|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,emailAddress,Email,Email address for the business unit.,means.identity.service.email,string,CdmDataFormat.STRING,False,,False,,,,,sales,competitor,email_address,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:service|type:email|pii:true|role:dimension
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,inheritanceMask,Inheritance Mask,Inheritance mask for the business unit.,,int32,CdmDataFormat.INT32,False,,False,,,,,sales,competitor,inheritance_mask,,,,INT,INTEGER,INT64,Int32,
sales,local:/core/applicationCommon/foundationCommon/crmCommon/sales/sales.1.4.manifest.cdm.json,Competitor.1.3.cdm.json/Competitor,Competitor,workflowSuspended,Workflow Suspended,Information about whether workflow or sales process rules have been suspended.,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,sales,competitor,workflow_suspended,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
