cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,createdOn,Created On,Date and time when the unit group was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,scheduling,actual,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,createdBy,Created By,Unique identifier of the user who created the price list.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,scheduling,actual,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,modifiedOn,Modified On,Date and time when the unit group was last modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,scheduling,actual,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,modifiedBy,Modified By,Unique identifier of the user who last modified the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,scheduling,actual,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,scheduling,actual,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who last modified the team.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,scheduling,actual,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,scheduling,actual,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,scheduling,actual,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,scheduling,actual,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
scheduling,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/scheduling/scheduling.1.4.manifest.cdm.json,Actual.1.4.cdm.json/Actual,Actual,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,scheduling,actual,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
