cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,activityPartyId,Activity Party,Unique identifier of the activity party.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,service,activity_party,activity_party_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,participationTypeMask,Participation Type,"Role of the person in the activity, such as sender, to, cc, bcc, required, optional, organizer, regarding, or owner.",,int32,CdmDataFormat.INT32,False,,False,,,,,service,activity_party,participation_type_mask,,,,INT,INTEGER,INT64,Int32,
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,participationTypeMask_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,service,activity_party,participation_type_mask_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,addressUsed,Address ,"Email address to which an email is delivered, and which is associated with the target entity.",,string,CdmDataFormat.STRING,False,,False,,,,,service,activity_party,address_used,,,,STRING,VARCHAR,STRING,object,
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,doNotFax,Do not allow Faxes,Information about whether to allow sending faxes to the activity party.,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,service,activity_party,do_not_fax,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,scheduledStart,Scheduled Start,Scheduled start time of the activity.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,service,activity_party,scheduled_start,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,scheduledEnd,Scheduled End,Scheduled end time of the activity.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,service,activity_party,scheduled_end,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,effort,Effort,Amount of effort used by the resource in a service appointment activity.,,double,CdmDataFormat.DOUBLE,False,,False,,,,,service,activity_party,effort,,,,FLOAT,DOUBLE,FLOAT64,float64,
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,doNotEMail,Do not allow Emails,Information about whether to allow sending email to the activity party.,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,service,activity_party,do_not_e_mail,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
service,local:/core/applicationCommon/foundationCommon/crmCommon/service/service.1.5.manifest.cdm.json,ActivityParty.1.4.cdm.json/ActivityParty,ActivityParty,exchangeEntryId,Exchange Entry,For internal use only.,,string,CdmDataFormat.STRING,False,,False,,,,,service,activity_party,exchange_entry_id,,,,STRING,VARCHAR,STRING,object,
