cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AccountsPayable,CustomChequeLayoutEntity,CustomChequeLayoutEntity.1.2.cdm.json/CustomChequeLayoutEntity,,accounts_payable,custom_cheque_layout_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendPaymentBIInvoicesPaid,VendPaymentBIInvoicesPaid.1.1.1.cdm.json/VendPaymentBIInvoicesPaid,,accounts_payable,vend_payment_bi_invoices_paid,Relationship_LanguageTableRelationshipId
AccountsPayable,VendorPaymentFeeEntity,VendorPaymentFeeEntity.1.2.cdm.json/VendorPaymentFeeEntity,,accounts_payable,vendor_payment_fee_entity,Relationship_MainAcountRelationshipId
AccountsPayable,VendQRBillIntegrationEntity,VendQRBillIntegrationEntity.1.2.cdm.json/VendQRBillIntegrationEntity,,accounts_payable,vend_qr_bill_integration_entity,Relationship_VendTableRelationshipId
AccountsPayable,VendInvoiceJournalLineEntity,VendInvoiceJournalLineEntity.1.2.cdm.json/VendInvoiceJournalLineEntity,,accounts_payable,vend_invoice_journal_line_entity,BackingTable_LedgerJournalTableRelationshipId
AccountsPayable,VendInvoiceRegisterLineV2Entity,VendInvoiceRegisterLineV2Entity.1.2.cdm.json/VendInvoiceRegisterLineV2Entity,,accounts_payable,vend_invoice_register_line_v2_entity,BackingTable_LedgerJournalTableRelationshipId
AccountsPayable,VendVendorPaymFeeGroupEntity,VendVendorPaymFeeGroupEntity.1.2.cdm.json/VendVendorPaymFeeGroupEntity,,accounts_payable,vend_vendor_paym_fee_group_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendPaymentBIVendorCustomerBalanceEntityV2,VendPaymentBIVendorCustomerBalanceEntityV2.1.2.cdm.json/VendPaymentBIVendorCustomerBalanceEntityV2,,accounts_payable,vend_payment_bi_vendor_customer_balance_entity_v2,Relationship_LanguageTableRelationshipId
AccountsPayable,VendPaymentBITransactionToAccountingExchRate,VendPaymentBITransactionToAccountingExchRate.1.0.1.cdm.json/VendPaymentBITransactionToAccountingExchRate,,accounts_payable,vend_payment_bi_transaction_to_accounting_exch_rate,
AccountsPayable,VendVendorPostalAddressEntity,VendVendorPostalAddressEntity.1.2.cdm.json/VendVendorPostalAddressEntity,,accounts_payable,vend_vendor_postal_address_entity,Relationship_LanguageTableRelationshipId
AccountsPayable,VendVendorInvoiceDeclarationEntity,VendVendorInvoiceDeclarationEntity.1.2.cdm.json/VendVendorInvoiceDeclarationEntity,,accounts_payable,vend_vendor_invoice_declaration_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendCorrectionNoteEntity,VendCorrectionNoteEntity.1.2.cdm.json/VendCorrectionNoteEntity,,accounts_payable,vend_correction_note_entity,Relationship_VendInvoiceJourRelationshipId
AccountsPayable,VendInvoiceJournalHeaderEntity,VendInvoiceJournalHeaderEntity.1.2.cdm.json/VendInvoiceJournalHeaderEntity,,accounts_payable,vend_invoice_journal_header_entity,Relationship_BankAccountTableRelationshipId
AccountsPayable,VendorInvoiceHeaderEntity,VendorInvoiceHeaderEntity.1.2.cdm.json/VendorInvoiceHeaderEntity,,accounts_payable,vendor_invoice_header_entity,Relationship_MainAccountRelationshipId
AccountsPayable,VendVendorBankAccountEntity,VendVendorBankAccountEntity.1.2.cdm.json/VendVendorBankAccountEntity,,accounts_payable,vend_vendor_bank_account_entity,Relationship_DefaultDimensionDimensionSetRelationshipId
AccountsPayable,VendorPaymentJournalFeeEntity,VendorPaymentJournalFeeEntity.1.2.cdm.json/VendorPaymentJournalFeeEntity,,accounts_payable,vendor_payment_journal_fee_entity,Relationship_MainAccountRelationshipId
AccountsPayable,VendorPaymentJournalLineSettledInvoiceEntity,VendorPaymentJournalLineSettledInvoiceEntity.1.2.cdm.json/VendorPaymentJournalLineSettledInvoiceEntity,,accounts_payable,vendor_payment_journal_line_settled_invoice_entity,Relationship_JournalNameRelationshipId
AccountsPayable,VendPaymentBIVendTrans,VendPaymentBIVendTrans.1.2.cdm.json/VendPaymentBIVendTrans,,accounts_payable,vend_payment_bi_vend_trans,Relationship_AccountingEventRelationshipId
AccountsPayable,VendorPaymentMethodSpecificationEntity,VendorPaymentMethodSpecificationEntity.1.2.cdm.json/VendorPaymentMethodSpecificationEntity,,accounts_payable,vendor_payment_method_specification_entity,Relationship_BridgingPostingAccountCombinationRelationshipId
AccountsPayable,VendPaymentBIVendTable,VendPaymentBIVendTable.1.2.cdm.json/VendPaymentBIVendTable,,accounts_payable,vend_payment_bi_vend_table,Relationship_BankCentralBankPurposeRelationshipId
AccountsPayable,VendInvoiceRegisterHeaderEntity,VendInvoiceRegisterHeaderEntity.1.2.cdm.json/VendInvoiceRegisterHeaderEntity,,accounts_payable,vend_invoice_register_header_entity,Relationship_BankAccountTableRelationshipId
AccountsPayable,VendorPaymentFormatEntity,VendorPaymentFormatEntity.1.2.cdm.json/VendorPaymentFormatEntity,,accounts_payable,vendor_payment_format_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendorPriceToleranceGroupEntity,VendorPriceToleranceGroupEntity.1.2.cdm.json/VendorPriceToleranceGroupEntity,,accounts_payable,vendor_price_tolerance_group_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendInvoicePolicyRuleTypeEntity,VendInvoicePolicyRuleTypeEntity.1.2.cdm.json/VendInvoicePolicyRuleTypeEntity,,accounts_payable,vend_invoice_policy_rule_type_entity,Relationship_PolicyTypeRelationshipId
AccountsPayable,BankVendPaymModeBankAccountsEntity,BankVendPaymModeBankAccountsEntity.1.2.cdm.json/BankVendPaymModeBankAccountsEntity,,accounts_payable,bank_vend_paym_mode_bank_accounts_entity,Relationship_MainAccountRelationshipId
AccountsPayable,VendPaymentBIAccountingToSystemExchRate,VendPaymentBIAccountingToSystemExchRate.1.2.cdm.json/VendPaymentBIAccountingToSystemExchRate,,accounts_payable,vend_payment_bi_accounting_to_system_exch_rate,Relationship_BudgetExchangeRateTypeRelationshipId
AccountsPayable,VendorExceptionGroupEntity,VendorExceptionGroupEntity.1.2.cdm.json/VendorExceptionGroupEntity,,accounts_payable,vendor_exception_group_entity,Relationship_CompanyRelationshipId
AccountsPayable,VendPaymentBIVendTableV2,VendPaymentBIVendTableV2.1.2.cdm.json/VendPaymentBIVendTableV2,,accounts_payable,vend_payment_bi_vend_table_v2,Relationship_BankCentralBankPurposeRelationshipId
AccountsPayable,VendConsInvoiceEntity,VendConsInvoiceEntity.1.1.1.cdm.json/VendConsInvoiceEntity,,accounts_payable,vend_cons_invoice_entity,Relationship_PaymTermRelationshipId
AccountsPayable,VendorInvoiceDocumentAttachmentEntity,VendorInvoiceDocumentAttachmentEntity.1.2.cdm.json/VendorInvoiceDocumentAttachmentEntity,,accounts_payable,vendor_invoice_document_attachment_entity,Relationship_MainAccountRelationshipId
