cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationAppointmentEMR,AppointmentEMRIndication,AppointmentEMRIndication.1.2.cdm.json/AppointmentEMRIndication,"Reason the appointment has been scheduled to take place, as specified using information from another entity. The indication will typically be a Condition or a Procedure",administration_appointment_emr,appointment_emr_indication,createdBy
AdministrationAppointmentEMR,AppointmentEMRParticipant,AppointmentEMRParticipant.1.2.cdm.json/AppointmentEMRParticipant,List of participants involved in the appointment.,administration_appointment_emr,appointment_emr_participant,createdBy
AdministrationAppointmentEMR,AppointmentEMRReason,AppointmentEMRReason.1.2.cdm.json/AppointmentEMRReason,The reason that this appointment is being scheduled. This is more clinical than administrative.,administration_appointment_emr,appointment_emr_reason,createdBy
AdministrationAppointmentEMR,AppointmentEMRReferralRequest,AppointmentEMRReferralRequest.1.2.cdm.json/AppointmentEMRReferralRequest,The referral request this appointment is allocated to assess (incoming referral).,administration_appointment_emr,appointment_emr_referral_request,createdBy
AdministrationAppointmentEMR,AppointmentEMRRequestedPeriod,AppointmentEMRRequestedPeriod.1.2.cdm.json/AppointmentEMRRequestedPeriod,A set of date ranges (potentially including times) that the appointment is preferred to be scheduled within.,administration_appointment_emr,appointment_emr_requested_period,createdBy
AdministrationAppointmentEMR,AppointmentEMRServiceType,AppointmentEMRServiceType.1.2.cdm.json/AppointmentEMRServiceType,The specific service that is to be performed during this appointment.s,administration_appointment_emr,appointment_emr_service_type,createdBy
AdministrationAppointmentEMR,AppointmentEMRSlot,AppointmentEMRSlot.1.2.cdm.json/AppointmentEMRSlot,The slots from the participants' schedules that will be filled by the appointment.,administration_appointment_emr,appointment_emr_slot,createdBy
AdministrationAppointmentEMR,AppointmentEMRSpecialty,AppointmentEMRSpecialty.1.2.cdm.json/AppointmentEMRSpecialty,The specialty of a practitioner that would be required to perform the service requested in this appointment.,administration_appointment_emr,appointment_emr_specialty,createdBy
AdministrationAppointmentEMR,AppointmentServiceCategory,AppointmentServiceCategory.1.2.cdm.json/AppointmentServiceCategory,A broad categorization of the service that is to be performed during this appointment.,administration_appointment_emr,appointment_service_category,createdBy
AdministrationAppointmentEMR,ScheduleActor,ScheduleActor.1.2.cdm.json/ScheduleActor,The specialty of a practitioner that would be required to perform the service requested in this appointment.,administration_appointment_emr,schedule_actor,createdBy
AdministrationAppointmentEMR,ScheduleServiceType,ScheduleServiceType.1.2.cdm.json/ScheduleServiceType,The specific service that is to be performed during this appointment.,administration_appointment_emr,schedule_service_type,createdBy
AdministrationAppointmentEMR,ScheduleSpecialty,ScheduleSpecialty.1.2.cdm.json/ScheduleSpecialty,A container for slots of time that may be available for booking appointments.,administration_appointment_emr,schedule_specialty,createdBy
AdministrationAppointmentEMR,Slot,Slot.1.2.cdm.json/Slot,A slot of time on a schedule that may be available for booking appointments.,administration_appointment_emr,slot,createdBy
AdministrationAppointmentEMR,SlotServiceType,SlotServiceType.1.2.cdm.json/SlotServiceType,The type of appointments that can be booked into this slot. If provided then this overrides the value provided on the availability resource.,administration_appointment_emr,slot_service_type,createdBy
AdministrationAppointmentEMR,SlotSpecialty,SlotSpecialty.1.2.cdm.json/SlotSpecialty,The specialty of a practitioner that would be required to perform the service requested in this appointment.,administration_appointment_emr,slot_specialty,createdBy
