cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationCore,Account,Account.1.2.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,administration_core,account,createdBy
AdministrationCore,Contact,Contact.1.2.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",administration_core,contact,createdBy
AdministrationCore,AdditionalName,AdditionalName.1.2.cdm.json/AdditionalName,It consists the patient additional names.,administration_core,additional_name,createdBy
AdministrationCore,ContactLink,ContactLink.1.2.cdm.json/ContactLink,Link to another patient entity that concerns the same actual patient.,administration_core,contact_link,createdBy
AdministrationCore,EndpointContact,EndpointContact.1.2.cdm.json/EndpointContact,Contact details for a human to contact about the subscription. The primary use of this for system administrator troubleshooting.,administration_core,endpoint_contact,createdBy
AdministrationCore,EndpointHeader,EndpointHeader.1.2.cdm.json/EndpointHeader,Additional headers / information to send as part of the notification.,administration_core,endpoint_header,createdBy
AdministrationCore,EndpointPayloadMimeType,EndpointPayloadMimeType.1.2.cdm.json/EndpointPayloadMimeType,"The mime type to send the payload in . If the mime type is not specified, then the sender could send any content .",administration_core,endpoint_payload_mime_type,createdBy
AdministrationCore,EndpointPayloadType,EndpointPayloadType.1.2.cdm.json/EndpointPayloadType,The payload type describes the acceptable content that can be communicated on the endpoint.,administration_core,endpoint_payload_type,createdBy
AdministrationCore,PractitionerQualification,PractitionerQualification.1.2.cdm.json/PractitionerQualification,Qualifications obtained by training and certification.,administration_core,practitioner_qualification,createdBy
AdministrationCore,PractitionerRoleAvailableTime,PractitionerRoleAvailableTime.1.1.cdm.json/PractitionerRoleAvailableTime,A collection of times that the Service Site is available.,administration_core,practitioner_role_available_time,createdBy
AdministrationCore,PractitionerRoleCode,PractitionerRoleCode.1.2.cdm.json/PractitionerRoleCode,Roles which this practitioner is authorized to perform for the organization.,administration_core,practitioner_role_code,createdBy
AdministrationCore,PractitionerRoleEndPoint,PractitionerRoleEndPoint.1.2.cdm.json/PractitionerRoleEndPoint,Technical endpoints providing access to services operated for the practitioner with this role.,administration_core,practitioner_role_end_point,createdBy
AdministrationCore,PractitionerRoleHealthcareService,PractitionerRoleHealthcareService.1.2.cdm.json/PractitionerRoleHealthcareService,The list of healthcare services that this worker provides for this role's Organization/Location(s).,administration_core,practitioner_role_healthcare_service,createdBy
AdministrationCore,PractitionerRoleLocation,PractitionerRoleLocation.1.2.cdm.json/PractitionerRoleLocation,The location(s) at which this practitioner provides care.,administration_core,practitioner_role_location,createdBy
AdministrationCore,PractitionerRoleSpecialty,PractitionerRoleSpecialty.1.2.cdm.json/PractitionerRoleSpecialty,Specific specialty of the practitioner.,administration_core,practitioner_role_specialty,createdBy
AdministrationCore,PractitionerRoleTelecom,PractitionerRoleTelecom.1.2.cdm.json/PractitionerRoleTelecom,Contact details that are specific to the role/location/service.,administration_core,practitioner_role_telecom,createdBy
AdministrationCore,PractitionerSpecialty,PractitionerSpecialty.1.1.cdm.json/PractitionerSpecialty,Specific specialty of the practitioner.,administration_core,practitioner_specialty,createdBy
AdministrationCore,RequestGroupAction,RequestGroupAction.1.2.cdm.json/RequestGroupAction,"The actions, if any, produced by the evaluation of the artifact.",administration_core,request_group_action,createdBy
AdministrationCore,RequestGroupActionAction,RequestGroupActionAction.1.2.cdm.json/RequestGroupActionAction,Sub actions.,administration_core,request_group_action_action,createdBy
AdministrationCore,RequestGroupActionCode,RequestGroupActionCode.1.2.cdm.json/RequestGroupActionCode,"A code that provides meaning for the action or action group. For example, a section may have a LOINC code for a the section of a documentation template.",administration_core,request_group_action_code,createdBy
AdministrationCore,RequestGroupActionCondition,RequestGroupActionCondition.1.1.cdm.json/RequestGroupActionCondition,"An expression that describes applicability criteria, or start/stop conditions for the action.",administration_core,request_group_action_condition,createdBy
AdministrationCore,RequestGroupActionDocumentation,RequestGroupActionDocumentation.1.2.cdm.json/RequestGroupActionDocumentation,Didactic or other informational resources associated with the action that can be provided to the CDS recipient. Information resources can include inline text commentary and links to web resources.,administration_core,request_group_action_documentation,createdBy
AdministrationCore,RequestGroupActionParticipant,RequestGroupActionParticipant.1.2.cdm.json/RequestGroupActionParticipant,The participant that should perform or be responsible for this action.,administration_core,request_group_action_participant,createdBy
AdministrationCore,RequestGroupActionRelatedAction,RequestGroupActionRelatedAction.1.2.cdm.json/RequestGroupActionRelatedAction,"A relationship to another action such as ""before"" or ""30-60 minutes after start of"".",administration_core,request_group_action_related_action,createdBy
AdministrationCore,RequestGroupBasedOn,RequestGroupBasedOn.1.2.cdm.json/RequestGroupBasedOn,"A plan, proposal or order that is fulfilled in whole or in part by this request.",administration_core,request_group_based_on,createdBy
AdministrationCore,RequestGroupDefinition,RequestGroupDefinition.1.2.cdm.json/RequestGroupDefinition,"A protocol, guideline, order set or other definition that is adhered to in whole or in part by this request.",administration_core,request_group_definition,createdBy
AdministrationCore,RequestGroupReplace,RequestGroupReplace.1.2.cdm.json/RequestGroupReplace,Completed or terminated request(s) whose function is taken by this new request.,administration_core,request_group_replace,createdBy
AdministrationCore,SubstanceCategory,SubstanceCategory.1.2.cdm.json/SubstanceCategory,"A code that classifies the general type of substance. This is used for searching, sorting and display purposes.",administration_core,substance_category,createdBy
AdministrationCore,SubstanceIngredient,SubstanceIngredient.1.2.cdm.json/SubstanceIngredient,A substance can be composed of other substances.,administration_core,substance_ingredient,createdBy
AdministrationCore,SubstanceInstance,SubstanceInstance.1.2.cdm.json/SubstanceInstance,,administration_core,substance_instance,
AdministrationCore,Task,Task.1.2.cdm.json/Task,Generic activity representing work needed to be done.,administration_core,task,createdBy
