cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationDevice,DeviceCalibration,DeviceCalibration.1.1.cdm.json/DeviceCalibration,Describes the calibrations that have been performed or that are required to be performed.,administration_device,device_calibration,createdBy
AdministrationDevice,DeviceComponentOperationalStatus,DeviceComponentOperationalStatus.1.2.cdm.json/DeviceComponentOperationalStatus,"The current operational status of the device. For example: On, Off, Standby, etc.",administration_device,device_component_operational_status,createdBy
AdministrationDevice,DeviceComponentProductionSpecification,DeviceComponentProductionSpecification.1.2.cdm.json/DeviceComponentProductionSpecification,"The production specification such as component revision, serial number, etc.",administration_device,device_component_production_specification,createdBy
AdministrationDevice,DeviceContactPoint,DeviceContactPoint.1.2.cdm.json/DeviceContactPoint,Contact details for an organization or a particular human that is responsible for the device.,administration_device,device_contact_point,createdBy
AdministrationDevice,DeviceMetricType,DeviceMetricType.1.1.cdm.json/DeviceMetricType,"Describes the type of the metric. For example: Heart Rate, PEEP Setting, etc.",administration_device,device_metric_type,createdBy
AdministrationDevice,DeviceRequestBasedOn,DeviceRequestBasedOn.1.2.cdm.json/DeviceRequestBasedOn,Plan/proposal/order fulfilled by this request.,administration_device,device_request_based_on,createdBy
AdministrationDevice,DeviceRequestDefinition,DeviceRequestDefinition.1.2.cdm.json/DeviceRequestDefinition,Protocol or definition followed by this request.,administration_device,device_request_definition,createdBy
AdministrationDevice,DeviceRequestPriorRequest,DeviceRequestPriorRequest.1.2.cdm.json/DeviceRequestPriorRequest,The request takes the place of the referenced completed or terminated request(s).,administration_device,device_request_prior_request,createdBy
AdministrationDevice,DeviceRequestReasonCode,DeviceRequestReasonCode.1.2.cdm.json/DeviceRequestReasonCode,Reason or justification for the use of this device.,administration_device,device_request_reason_code,createdBy
AdministrationDevice,DeviceRequestReasonReference,DeviceRequestReasonReference.1.2.cdm.json/DeviceRequestReasonReference,Reason or justification for the use of this device.,administration_device,device_request_reason_reference,createdBy
AdministrationDevice,DeviceRequestRelevantHistory,DeviceRequestRelevantHistory.1.2.cdm.json/DeviceRequestRelevantHistory,Key events in the history of the request.,administration_device,device_request_relevant_history,createdBy
AdministrationDevice,DeviceRequestSupportingInfo,DeviceRequestSupportingInfo.1.1.cdm.json/DeviceRequestSupportingInfo,"Additional clinical information about the patient that may influence the request fulfillment. For example, this may includes body where on the subject's the device will be used.",administration_device,device_request_supporting_info,createdBy
AdministrationDevice,DeviceSafety,DeviceSafety.1.1.cdm.json/DeviceSafety,Provides additional safety characteristics about a medical device. For example devices containing latex.,administration_device,device_safety,createdBy
AdministrationDevice,DeviceStatus,DeviceStatus.1.1.cdm.json/DeviceStatus,,administration_device,device_status,createdBy
