cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationEncounter,EncounterAccount,EncounterAccount.1.2.cdm.json/EncounterAccount,The set of accounts that may be used for billing for this Encounter.,administration_encounter,encounter_account,createdBy
AdministrationEncounter,EncounterClassHistory,EncounterClassHistory.1.2.cdm.json/EncounterClassHistory,The class history permits the tracking of the encounters transitions without needing to go through the entity history.,administration_encounter,encounter_class_history,createdBy
AdministrationEncounter,EncounterDiagnosis,EncounterDiagnosis.1.2.cdm.json/EncounterDiagnosis,The list of diagnosis relevant to this encounter.,administration_encounter,encounter_diagnosis,createdBy
AdministrationEncounter,EncounterEpisodeOfCare,EncounterEpisodeOfCare.1.2.cdm.json/EncounterEpisodeOfCare,Where a specific encounter should be classified as a part of a specific episode(s) of care this field should be used.,administration_encounter,encounter_episode_of_care,createdBy
AdministrationEncounter,EncounterHospitalizationArrangement,EncounterHospitalizationArrangement.1.2.cdm.json/EncounterHospitalizationArrangement,"Any special requests that have been made for this hospitalization encounter, such as the provision of specific equipment or other things.",administration_encounter,encounter_hospitalization_arrangement,createdBy
AdministrationEncounter,EncounterHospitalizationCourtesy,EncounterHospitalizationCourtesy.1.2.cdm.json/EncounterHospitalizationCourtesy,"Special courtesies (VIP, board member).",administration_encounter,encounter_hospitalization_courtesy,createdBy
AdministrationEncounter,EncounterHospitalizationDiet,EncounterHospitalizationDiet.1.2.cdm.json/EncounterHospitalizationDiet,Used to track patient's diet restrictions and/or preference.,administration_encounter,encounter_hospitalization_diet,createdBy
AdministrationEncounter,EncounterLocation,EncounterLocation.1.2.cdm.json/EncounterLocation,List of locations where the patient has been during this encounter.,administration_encounter,encounter_location,createdBy
AdministrationEncounter,EncounterParticipant,EncounterParticipant.1.1.cdm.json/EncounterParticipant,The list of people responsible for providing the service.,administration_encounter,encounter_participant,createdBy
AdministrationEncounter,EncounterParticipantType,EncounterParticipantType.1.2.cdm.json/EncounterParticipantType,The participant type indicates how an individual participates in an encounter.,administration_encounter,encounter_participant_type,createdBy
AdministrationEncounter,EncounterReason,EncounterReason.1.2.cdm.json/EncounterReason,"Reason the encounter takes place, expressed as a code. For admissions, this can be used for a coded admission diagnosis.",administration_encounter,encounter_reason,createdBy
AdministrationEncounter,EncounterReferralRequest,EncounterReferralRequest.1.2.cdm.json/EncounterReferralRequest,The referral request this encounter satisfies (incoming referral).,administration_encounter,encounter_referral_request,createdBy
AdministrationEncounter,EncounterStatusHistory,EncounterStatusHistory.1.2.cdm.json/EncounterStatusHistory,"The status history permits the encounter entity to contain the status history without needing to read through the historical versions of the entity, or even have the server store them",administration_encounter,encounter_status_history,createdBy
AdministrationEncounter,EncounterType,EncounterType.1.2.cdm.json/EncounterType,"Specific type of encounter (e.g. e-mail consultation, surgical day-care, skilled nursing, rehabilitation).",administration_encounter,encounter_type,createdBy
AdministrationEncounter,EpisodeOfCareAccount,EpisodeOfCareAccount.1.2.cdm.json/EpisodeOfCareAccount,The set of accounts that may be used for billing for this Episode Of Care.,administration_encounter,episode_of_care_account,createdBy
AdministrationEncounter,EpisodeOfCareCareTeam,EpisodeOfCareCareTeam.1.2.cdm.json/EpisodeOfCareCareTeam,The list of practitioners that may be facilitating this episode of care for specific purposes.,administration_encounter,episode_of_care_care_team,createdBy
AdministrationEncounter,EpisodeOfCareDiagnosis,EpisodeOfCareDiagnosis.1.2.cdm.json/EpisodeOfCareDiagnosis,The list of diagnosis relevant to this episode of care.,administration_encounter,episode_of_care_diagnosis,createdBy
AdministrationEncounter,EpisodeOfCareHistory,EpisodeOfCareHistory.1.2.cdm.json/EpisodeOfCareHistory,The history of statuses that the Episode Of Care has been through (without requiring processing the history of the resource).,administration_encounter,episode_of_care_history,createdBy
AdministrationEncounter,EpisodeOfCareReferralRequest,EpisodeOfCareReferralRequest.1.2.cdm.json/EpisodeOfCareReferralRequest,"Referral Request(s) that are fulfilled by this Episode Of Care, incoming referrals.",administration_encounter,episode_of_care_referral_request,createdBy
AdministrationEncounter,EpisodeOfCareType,EpisodeOfCareType.1.1.cdm.json/EpisodeOfCareType,"A classification of the type of episode of care; e.g. specialist referral, disease management, type of funded care.",administration_encounter,episode_of_care_type,createdBy
