cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationHealthServices,HealthcareServiceAvailableTime,HealthcareServiceAvailableTime.1.2.cdm.json/HealthcareServiceAvailableTime,A collection of times that the Service Site is available.,administration_health_services,healthcare_service_available_time,createdBy
AdministrationHealthServices,HealthcareServiceCategory,HealthcareServiceCategory.1.2.cdm.json/HealthcareServiceCategory,Identifies the broad category of service being performed or delivered.,administration_health_services,healthcare_service_category,createdBy
AdministrationHealthServices,HealthcareServiceCharacteristic,HealthcareServiceCharacteristic.1.2.cdm.json/HealthcareServiceCharacteristic,Collection of characteristics (attributes).,administration_health_services,healthcare_service_characteristic,createdBy
AdministrationHealthServices,HealthcareServiceCoverageArea,HealthcareServiceCoverageArea.1.2.cdm.json/HealthcareServiceCoverageArea,The location(s) that this service is available to (not where the service is provided).,administration_health_services,healthcare_service_coverage_area,createdBy
AdministrationHealthServices,HealthcareServiceEndpoint,HealthcareServiceEndpoint.1.2.cdm.json/HealthcareServiceEndpoint,Technical endpoints providing access to services operated for the specific healthcare services defined at this entity.,administration_health_services,healthcare_service_endpoint,createdBy
AdministrationHealthServices,HealthcareServiceLocation,HealthcareServiceLocation.1.2.cdm.json/HealthcareServiceLocation,The location(s) where this healthcare service may be provided.,administration_health_services,healthcare_service_location,createdBy
AdministrationHealthServices,HealthcareServiceProgramName,HealthcareServiceProgramName.1.2.cdm.json/HealthcareServiceProgramName,Program Names that can be used to categorize the service.,administration_health_services,healthcare_service_program_name,createdBy
AdministrationHealthServices,HealthcareServiceProvision,HealthcareServiceProvision.1.2.cdm.json/HealthcareServiceProvision,The code(s) that detail the conditions under which the healthcare service is available/offered.,administration_health_services,healthcare_service_provision,createdBy
AdministrationHealthServices,HealthcareServiceReferralMethod,HealthcareServiceReferralMethod.1.2.cdm.json/HealthcareServiceReferralMethod,"Ways that the service accepts referrals, if this is not provided then it is implied that no referral is required.",administration_health_services,healthcare_service_referral_method,createdBy
AdministrationHealthServices,HealthcareServiceSpecialty,HealthcareServiceSpecialty.1.2.cdm.json/HealthcareServiceSpecialty,Collection of specialties handled by the service site.,administration_health_services,healthcare_service_specialty,createdBy
AdministrationHealthServices,HealthcareServiceTelecom,HealthcareServiceTelecom.1.2.cdm.json/HealthcareServiceTelecom,List of contacts related to this specific healthcare service.,administration_health_services,healthcare_service_telecom,createdBy
