cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
BrickAndMortarStore,RetailFiscalPrinterConfigTableEntity,RetailFiscalPrinterConfigTableEntity.1.1.cdm.json/RetailFiscalPrinterConfigTableEntity,,brick_and_mortar_store,retail_fiscal_printer_config_table_entity,
BrickAndMortarStore,RetailPosPermissionGroupEntity,RetailPosPermissionGroupEntity.1.1.cdm.json/RetailPosPermissionGroupEntity,,brick_and_mortar_store,retail_pos_permission_group_entity,
BrickAndMortarStore,RetailTillLayoutSizeEntity,RetailTillLayoutSizeEntity.1.0.1.cdm.json/RetailTillLayoutSizeEntity,,brick_and_mortar_store,retail_till_layout_size_entity,
BrickAndMortarStore,RetailJobPosPermissionGroupEntity,RetailJobPosPermissionGroupEntity.1.1.cdm.json/RetailJobPosPermissionGroupEntity,,brick_and_mortar_store,retail_job_pos_permission_group_entity,Relationship_RetailPosPermissionGroupRelationshipId
BrickAndMortarStore,RetailChannelWorkerEntity,RetailChannelWorkerEntity.1.1.cdm.json/RetailChannelWorkerEntity,,brick_and_mortar_store,retail_channel_worker_entity,
BrickAndMortarStore,RetailChannelEmployeeAddressBookEntity,RetailChannelEmployeeAddressBookEntity.1.1.cdm.json/RetailChannelEmployeeAddressBookEntity,,brick_and_mortar_store,retail_channel_employee_address_book_entity,Relationship_DefaultCustomerRelationshipId
BrickAndMortarStore,RetailStoreLocatorGroupMemberEntity,RetailStoreLocatorGroupMemberEntity.1.0.1.cdm.json/RetailStoreLocatorGroupMemberEntity,,brick_and_mortar_store,retail_store_locator_group_member_entity,Relationship_RetailStoreLocatorGroupRelationshipId
BrickAndMortarStore,RetailStoreAddressBookEntity,RetailStoreAddressBookEntity.1.1.cdm.json/RetailStoreAddressBookEntity,,brick_and_mortar_store,retail_store_address_book_entity,Relationship_MainAccountRelationshipId
BrickAndMortarStore,RetailTillLayoutStaffEntity,RetailTillLayoutStaffEntity.1.1.cdm.json/RetailTillLayoutStaffEntity,,brick_and_mortar_store,retail_till_layout_staff_entity,BackingTable_RetailTillLayoutRelationshipId
BrickAndMortarStore,RetailTerminalEntity,RetailTerminalEntity.1.1.cdm.json/RetailTerminalEntity,,brick_and_mortar_store,retail_terminal_entity,Relationship_MainAccountRelationshipId
BrickAndMortarStore,RetailFiscalTransPaymentLineAdjustmentEntity,RetailFiscalTransPaymentLineAdjustmentEntity.1.1.cdm.json/RetailFiscalTransPaymentLineAdjustmentEntity,,brick_and_mortar_store,retail_fiscal_trans_payment_line_adjustment_entity,Relationship_LanguageTableRelationshipId
BrickAndMortarStore,RetailDesignerTillLayoutImageZone,RetailDesignerTillLayoutImageZone.1.0.1.cdm.json/RetailDesignerTillLayoutImageZone,,brick_and_mortar_store,retail_designer_till_layout_image_zone,Relationship_RetailTillLayoutRelationshipId
BrickAndMortarStore,RetailStoreLocatorGroupOwnerEntity,RetailStoreLocatorGroupOwnerEntity.1.1.cdm.json/RetailStoreLocatorGroupOwnerEntity,,brick_and_mortar_store,retail_store_locator_group_owner_entity,Relationship_DefaultCustomerRelationshipId
BrickAndMortarStore,RetailClientBookEntity,RetailClientBookEntity.1.1.cdm.json/RetailClientBookEntity,,brick_and_mortar_store,retail_client_book_entity,Relationship_CompanyRelationshipId
BrickAndMortarStore,RetailStoreHoursTemplateEntity,RetailStoreHoursTemplateEntity.1.1.cdm.json/RetailStoreHoursTemplateEntity,,brick_and_mortar_store,retail_store_hours_template_entity,Relationship_CompanyRelationshipId
BrickAndMortarStore,RetailImagesEntity,RetailImagesEntity.1.1.cdm.json/RetailImagesEntity,,brick_and_mortar_store,retail_images_entity,
BrickAndMortarStore,RetailStoreCashDeclarationEntity,RetailStoreCashDeclarationEntity.1.1.cdm.json/RetailStoreCashDeclarationEntity,,brick_and_mortar_store,retail_store_cash_declaration_entity,Relationship_CurrencyRelationshipId
BrickAndMortarStore,RetailDesignerTillLayoutButtonGridZone,RetailDesignerTillLayoutButtonGridZone.1.1.cdm.json/RetailDesignerTillLayoutButtonGridZone,,brick_and_mortar_store,retail_designer_till_layout_button_grid_zone,Relationship_RetailTillLayoutRelationshipId
BrickAndMortarStore,RetailTillLayoutReportZoneEntity,RetailTillLayoutReportZoneEntity.1.1.cdm.json/RetailTillLayoutReportZoneEntity,,brick_and_mortar_store,retail_till_layout_report_zone_entity,BackingTable_RetailTillLayoutRelationshipId
BrickAndMortarStore,RetailTillLayoutButtonGridZoneEntity,RetailTillLayoutButtonGridZoneEntity.1.1.cdm.json/RetailTillLayoutButtonGridZoneEntity,,brick_and_mortar_store,retail_till_layout_button_grid_zone_entity,Relationship_DeviceTypesRelationshipId
