cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Budgeting,BudgetPlanAssetLookupEntity,BudgetPlanAssetLookupEntity.1.2.cdm.json/BudgetPlanAssetLookupEntity,,budgeting,budget_plan_asset_lookup_entity,Relationship_LanguageTableRelationshipId
Budgeting,BudgetPlanScenarioEntity,BudgetPlanScenarioEntity.1.1.1.cdm.json/BudgetPlanScenarioEntity,,budgeting,budget_plan_scenario_entity,
Budgeting,BudgetControlMessageLevelEntity,BudgetControlMessageLevelEntity.1.2.cdm.json/BudgetControlMessageLevelEntity,,budgeting,budget_control_message_level_entity,Relationship_LedgerEntityRelationshipId
Budgeting,BudgetPlanProjectLookupEntity,BudgetPlanProjectLookupEntity.1.2.cdm.json/BudgetPlanProjectLookupEntity,,budgeting,budget_plan_project_lookup_entity,Relationship_AssetTableRelationshipId
Budgeting,BudgetPlanAlternateLayoutEntity,BudgetPlanAlternateLayoutEntity.1.2.cdm.json/BudgetPlanAlternateLayoutEntity,,budgeting,budget_plan_alternate_layout_entity,Relationship_BudgetPlanLayoutRelationshipId
Budgeting,BudgetSubModelEntity,BudgetSubModelEntity.1.1.1.cdm.json/BudgetSubModelEntity,,budgeting,budget_sub_model_entity,BackingTable_BudgetModelRelationshipId
Budgeting,BudgetCycleTimeSpanEntity,BudgetCycleTimeSpanEntity.1.1.1.cdm.json/BudgetCycleTimeSpanEntity,,budgeting,budget_cycle_time_span_entity,Relationship_FiscalCalendarRelationshipId
Budgeting,BudgetPlanLayoutEntity,BudgetPlanLayoutEntity.1.2.cdm.json/BudgetPlanLayoutEntity,,budgeting,budget_plan_layout_entity,Relationship_LayoutRelationshipId
Budgeting,BudgetPlanProposedProjectEntity,BudgetPlanProposedProjectEntity.1.2.cdm.json/BudgetPlanProposedProjectEntity,,budgeting,budget_plan_proposed_project_entity,
Budgeting,BudgetCodeEntity,BudgetCodeEntity.1.2.cdm.json/BudgetCodeEntity,,budgeting,budget_code_entity,BackingTable_ReasonTableRelationshipId
Budgeting,BudgetControlCycleModelEntity,BudgetControlCycleModelEntity.1.2.cdm.json/BudgetControlCycleModelEntity,,budgeting,budget_control_cycle_model_entity,Relationship_LedgerEntityRelationshipId
Budgeting,BudgetControlGroupCriterionEntity,BudgetControlGroupCriterionEntity.1.2.cdm.json/BudgetControlGroupCriterionEntity,,budgeting,budget_control_group_criterion_entity,Relationship_BudgetControlConfigurationRelationshipId
Budgeting,PurchCommitmentLineEntity,PurchCommitmentLineEntity.1.2.cdm.json/PurchCommitmentLineEntity,,budgeting,purch_commitment_line_entity,Relationship_MainAcountRelationshipId
Budgeting,BudgetControlRuleCriterionEntity,BudgetControlRuleCriterionEntity.1.2.cdm.json/BudgetControlRuleCriterionEntity,,budgeting,budget_control_rule_criterion_entity,Relationship_BudgetControlConfigurationRelationshipId
Budgeting,BudgetPlanPriorityConstraintEntity,BudgetPlanPriorityConstraintEntity.1.2.cdm.json/BudgetPlanPriorityConstraintEntity,,budgeting,budget_plan_priority_constraint_entity,Relationship_BudgetPlanningProcessRelationshipId
Budgeting,BudgetControlGroupEntity,BudgetControlGroupEntity.1.2.cdm.json/BudgetControlGroupEntity,,budgeting,budget_control_group_entity,Relationship_BudgetControlConfigurationRelationshipId
Budgeting,LedgerPeriodAllocationCategoryEntity,LedgerPeriodAllocationCategoryEntity.1.2.cdm.json/LedgerPeriodAllocationCategoryEntity,,budgeting,ledger_period_allocation_category_entity,Relationship_CompanyRelationshipId
Budgeting,BudgetPlanProcessMilestoneEntity,BudgetPlanProcessMilestoneEntity.1.2.cdm.json/BudgetPlanProcessMilestoneEntity,,budgeting,budget_plan_process_milestone_entity,Relationship_BudgetPlanningProcessRelationshipId
Budgeting,BudgetControlConfigurationEntity,BudgetControlConfigurationEntity.1.2.cdm.json/BudgetControlConfigurationEntity,,budgeting,budget_control_configuration_entity,Relationship_LedgerEntityRelationshipId
Budgeting,BudgetRegisterEntryLineEntity,BudgetRegisterEntryLineEntity.1.2.cdm.json/BudgetRegisterEntryLineEntity,,budgeting,budget_register_entry_line_entity,Relationship_AccountingCurrencyRelationshipId
Budgeting,BudgetPlanEntity,BudgetPlanEntity.1.2.cdm.json/BudgetPlanEntity,,budgeting,budget_plan_entity,Relationship_MainAcountRelationshipId
Budgeting,BudgetPlanColumnRuleEntity,BudgetPlanColumnRuleEntity.1.2.cdm.json/BudgetPlanColumnRuleEntity,,budgeting,budget_plan_column_rule_entity,Relationship_BudgetPlanColumnRelationshipId
Budgeting,BudgetPlanWorksheetEntity,BudgetPlanWorksheetEntity.1.2.cdm.json/BudgetPlanWorksheetEntity,,budgeting,budget_plan_worksheet_entity,Relationship_BudgetPlanHeaderRelationshipId
Budgeting,BudgetPlanProcessAdministrationEntity,BudgetPlanProcessAdministrationEntity.1.2.cdm.json/BudgetPlanProcessAdministrationEntity,,budgeting,budget_plan_process_administration_entity,Relationship_BudgetingOrganizationRelationshipId
Budgeting,BudgetReservationTypeEntity_PSN,BudgetReservationTypeEntity_PSN.1.2.cdm.json/BudgetReservationTypeEntity_PSN,,budgeting,budget_reservation_type_entity_psn,Relationship_NumberSequenceTableRelationshipId
Budgeting,BudgetDimensionEntity,BudgetDimensionEntity.1.2.cdm.json/BudgetDimensionEntity,,budgeting,budget_dimension_entity,BackingTable_DimensionAttributeRelationshipId
Budgeting,BudgetPlanProposedAssetEntity,BudgetPlanProposedAssetEntity.1.2.cdm.json/BudgetPlanProposedAssetEntity,,budgeting,budget_plan_proposed_asset_entity,
Budgeting,BudgetPlanPriorityEntity,BudgetPlanPriorityEntity.1.2.cdm.json/BudgetPlanPriorityEntity,,budgeting,budget_plan_priority_entity,
