cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
CashAndBankManagement,BankCodaAccountStatementLinesEntity,BankCodaAccountStatementLinesEntity.1.2.cdm.json/BankCodaAccountStatementLinesEntity,,cash_and_bank_management,bank_coda_account_statement_lines_entity,Relationship_MainAcountRelationshipId
CashAndBankManagement,BankPromissoryNoteLayoutEntity,BankPromissoryNoteLayoutEntity.1.2.cdm.json/BankPromissoryNoteLayoutEntity,,cash_and_bank_management,bank_promissory_note_layout_entity,Relationship_BankAccountTableRelationshipId
CashAndBankManagement,CashReceiptTableEntity,CashReceiptTableEntity.1.2.cdm.json/CashReceiptTableEntity,,cash_and_bank_management,cash_receipt_table_entity,Relationship_CompanyRelationshipId
CashAndBankManagement,BankGroupEntity,BankGroupEntity.1.2.cdm.json/BankGroupEntity,,cash_and_bank_management,bank_group_entity,Relationship_CurrencyRelationshipId
CashAndBankManagement,BLWICurrencyEntity,BLWICurrencyEntity.1.2.cdm.json/BLWICurrencyEntity,,cash_and_bank_management,blwi_currency_entity,Relationship_CurrencyRelationshipId
CashAndBankManagement,BankBillOfExchangeLayoutEntity,BankBillOfExchangeLayoutEntity.1.2.cdm.json/BankBillOfExchangeLayoutEntity,,cash_and_bank_management,bank_bill_of_exchange_layout_entity,Relationship_DefaultDimensionDimensionSetRelationshipId
CashAndBankManagement,BankStatementDocumentEntity,BankStatementDocumentEntity.1.2.cdm.json/BankStatementDocumentEntity,,cash_and_bank_management,bank_statement_document_entity,Relationship_Relation1RelationshipId
CashAndBankManagement,BankDocumentPostingEntity,BankDocumentPostingEntity.1.2.cdm.json/BankDocumentPostingEntity,,cash_and_bank_management,bank_document_posting_entity,Relationship_BankDocumentFacilityGroupRelationshipId
CashAndBankManagement,BankPaymentIdEntity,BankPaymentIdEntity.1.2.cdm.json/BankPaymentIdEntity,,cash_and_bank_management,bank_payment_id_entity,Relationship_CompanyRelationshipId
CashAndBankManagement,BankJournalLineEntity,BankJournalLineEntity.1.2.cdm.json/BankJournalLineEntity,,cash_and_bank_management,bank_journal_line_entity,Relationship_JournalNameRelationshipId
