cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ClinicalCore,AllergyIntolerance,AllergyIntolerance.1.1.cdm.json/AllergyIntolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.",clinical_core,allergy_intolerance,createdBy
ClinicalCore,ClinicalImpression,ClinicalImpression.1.2.cdm.json/ClinicalImpression,A record of a clinical assessment performed to determine what problem(s) may affect the patient and before planning the treatments or management strategies that are best to manage a patient condition,clinical_core,clinical_impression,createdBy
ClinicalCore,ClinicalImpressionAction,ClinicalImpressionAction.1.2.cdm.json/ClinicalImpressionAction,Action taken as part of assessment procedure.,clinical_core,clinical_impression_action,createdBy
ClinicalCore,ClinicalImpressionFinding,ClinicalImpressionFinding.1.2.cdm.json/ClinicalImpressionFinding,Specific findings or diagnoses that was considered likely or relevant to ongoing treatment.,clinical_core,clinical_impression_finding,createdBy
ClinicalCore,ClinicalImpressionInvestigation,ClinicalImpressionInvestigation.1.2.cdm.json/ClinicalImpressionInvestigation,"One or more sets of investigations (signs, etc.). The actual grouping of investigations vary greatly depending on the type and context of the assessment.",clinical_core,clinical_impression_investigation,createdBy
ClinicalCore,ClinicalImpressionInvestigationItem,ClinicalImpressionInvestigationItem.1.2.cdm.json/ClinicalImpressionInvestigationItem,A record of a specific investigation that was undertaken.,clinical_core,clinical_impression_investigation_item,createdBy
ClinicalCore,ClinicalImpressionProblem,ClinicalImpressionProblem.1.2.cdm.json/ClinicalImpressionProblem,This a list of the relevant problems/conditions for a patient.,clinical_core,clinical_impression_problem,createdBy
ClinicalCore,ClinicalImpressionPrognosis,ClinicalImpressionPrognosis.1.2.cdm.json/ClinicalImpressionPrognosis,Estimate of likely outcome.,clinical_core,clinical_impression_prognosis,createdBy
ClinicalCore,ClinicalImpressionProtocol,ClinicalImpressionProtocol.1.2.cdm.json/ClinicalImpressionProtocol,"Reference to a specific published clinical protocol that was followed during this assessment, and/or that provides evidence in support of the diagnosis.",clinical_core,clinical_impression_protocol,createdBy
ClinicalCore,ConditionBodySite,ConditionBodySite.1.2.cdm.json/ConditionBodySite,The anatomical location where this condition manifests itself.,clinical_core,condition_body_site,createdBy
ClinicalCore,ConditionCategory,ConditionCategory.1.1.cdm.json/ConditionCategory,A category assigned to the condition.,clinical_core,condition_category,createdBy
ClinicalCore,ConditionEvidence,ConditionEvidence.1.2.cdm.json/ConditionEvidence,Supporting Evidence / manifestations that are the basis on which this condition is suspected or confirmed.,clinical_core,condition_evidence,createdBy
ClinicalCore,ConditionStage,ConditionStage.1.2.cdm.json/ConditionStage,Clinical stage or grade of a condition. May include formal severity assessments.,clinical_core,condition_stage,createdBy
ClinicalCore,FamilyMemberHistory,FamilyMemberHistory.1.2.cdm.json/FamilyMemberHistory,Significant health events and conditions for a person related to the patient relevant in the context of care for the patient.,clinical_core,family_member_history,createdBy
ClinicalCore,FamilyMemberHistoryCondition,FamilyMemberHistoryCondition.1.2.cdm.json/FamilyMemberHistoryCondition,The significant Conditions (or condition) that the family member had.,clinical_core,family_member_history_condition,createdBy
ClinicalCore,FamilyMemberHistoryDefinition,FamilyMemberHistoryDefinition.1.2.cdm.json/FamilyMemberHistoryDefinition,A protocol or questionnaire that was adhered to in whole or in part by this event.,clinical_core,family_member_history_definition,createdBy
ClinicalCore,FamilyMemberHistoryReason,FamilyMemberHistoryReason.1.2.cdm.json/FamilyMemberHistoryReason,Describes why the family member history occurred in coded or textual form.,clinical_core,family_member_history_reason,createdBy
ClinicalCore,FamilyMemberHistoryReasonReference,FamilyMemberHistoryReasonReference.1.2.cdm.json/FamilyMemberHistoryReasonReference,"Indicates a Condition, Observation, Allergy Intolerance, or Questionnaire Response that justifies this family member history event.",clinical_core,family_member_history_reason_reference,createdBy
ClinicalCore,GoalAddresses,GoalAddresses.1.2.cdm.json/GoalAddresses,The identified conditions and other health record elements that are intended to be addressed by the goal.,clinical_core,goal_addresses,createdBy
ClinicalCore,GoalCategory,GoalCategory.1.1.cdm.json/GoalCategory,Indicates a category the goal falls within.,clinical_core,goal_category,createdBy
ClinicalCore,GoalOutcome,GoalOutcome.1.2.cdm.json/GoalOutcome,Identifies the change (or lack of change) at the point when the status of the goal is assessed.,clinical_core,goal_outcome,createdBy
ClinicalCore,GoalOutcomeReference,GoalOutcomeReference.1.1.cdm.json/GoalOutcomeReference,"Details of what's changed (or not changed). 
The goal outcome is independent of the outcome of the related activities.",clinical_core,goal_outcome_reference,createdBy
ClinicalCore,RiskAssessment,RiskAssessment.1.2.cdm.json/RiskAssessment,An assessment of the likely outcome(s) for a patient or other subject as well as the likelihood of each outcome.,clinical_core,risk_assessment,createdBy
ClinicalCore,RiskAssessmentBasis,RiskAssessmentBasis.1.2.cdm.json/RiskAssessmentBasis,"Indicates the source data considered as part of the assessment (Family History, Observations, Procedures, Conditions, etc.).",clinical_core,risk_assessment_basis,createdBy
ClinicalCore,RiskAssessmentPrediction,RiskAssessmentPrediction.1.2.cdm.json/RiskAssessmentPrediction,Describes the expected outcome for the subject.,clinical_core,risk_assessment_prediction,createdBy
