cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Cloud for Sustainability Shared Data Model CDM manifest,Account,Account.1.0.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,accountId
Cloud for Sustainability Shared Data Model CDM manifest,Contact,Contact.1.0.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",cloudfor_sustainability_shared_data_model_cd_mmanifest,contact,contactId
Cloud for Sustainability Shared Data Model CDM manifest,FactorLibrary,FactorLibrary.1.0.cdm.json/FactorLibrary,"Repository for emission and estimation factor sets, including both system and user added.",cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,
Cloud for Sustainability Shared Data Model CDM manifest,CountryRegionMapping,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,"Entity storing the region mapping, which is a mapping of a country or region to a user-defined group.",cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,countryregionmappingId
Cloud for Sustainability Shared Data Model CDM manifest,CustomDimensionMetadata,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,Table holding information about all the custom dimensions available in Microsoft Sustainability Manager,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,customdimensionmetadataId
Cloud for Sustainability Shared Data Model CDM manifest,EmissionFactor,EmissionFactor.1.0.cdm.json/EmissionFactor,Conversion factor which takes activity data and converts quantities into greenhouse gas amounts and units.,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,emissionfactorId
Cloud for Sustainability Shared Data Model CDM manifest,FactorMapping,FactorMapping.1.0.cdm.json/FactorMapping,"Entity which connects reference data to a specific emission factor or estimation factor, which can determine different factors for large sets of activity data.",cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_mapping,emissionlookupId
Cloud for Sustainability Shared Data Model CDM manifest,EstimationFactor,EstimationFactor.1.0.cdm.json/EstimationFactor,Entity to store estimation or consumption factors.,cloudfor_sustainability_shared_data_model_cd_mmanifest,estimation_factor,estimationfactorId
Cloud for Sustainability Shared Data Model CDM manifest,Facility,Facility.1.0.cdm.json/Facility,Base-level location to attribute activity data. May contain multiple buildings and organizational units.,cloudfor_sustainability_shared_data_model_cd_mmanifest,facility,facilityId
Cloud for Sustainability Shared Data Model CDM manifest,FacilityUsageDetail,FacilityUsageDetail.1.0.cdm.json/FacilityUsageDetail,Captures intensity scores for a facility in a given year.,cloudfor_sustainability_shared_data_model_cd_mmanifest,facility_usage_detail,facilityannualdetailId
Cloud for Sustainability Shared Data Model CDM manifest,FacilityCapacity,FacilityCapacity.1.0.cdm.json/FacilityCapacity,Entity to capture the facility's capacity dimension and measure for a specified time period.,cloudfor_sustainability_shared_data_model_cd_mmanifest,facility_capacity,facilitycapacityId
