cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Cloud for Sustainability Waste Data Model CDM manifest,CircularityDesignPrinciple,CircularityDesignPrinciple.1.0.cdm.json/CircularityDesignPrinciple,"Describes the circularity princple followed to produce the finished good such as durability, reusability or repairability.",cloudfor_sustainability_waste_data_model_cd_mmanifest,circularity_design_principle,circularitydesignprincipleId
Cloud for Sustainability Waste Data Model CDM manifest,FacilityItemConsumption,FacilityItemConsumption.1.0.cdm.json/FacilityItemConsumption,Entity used to record the quantity of an item consumed in a facility for a specified period.,cloudfor_sustainability_waste_data_model_cd_mmanifest,facility_item_consumption,facilityitemconsumptionId
Cloud for Sustainability Waste Data Model CDM manifest,ItemBillOfMaterial,ItemBillOfMaterial.1.0.cdm.json/ItemBillOfMaterial,Entity which records the Bill Of Material (BOM) used to create the item. The BOM lists the items (materials) that are part of the item.,cloudfor_sustainability_waste_data_model_cd_mmanifest,item_bill_of_material,itembillofmaterialId
Cloud for Sustainability Waste Data Model CDM manifest,ItemSustainableContent,ItemSustainableContent.1.0.cdm.json/ItemSustainableContent,"Entity for capturing data on the sustainable content types in the item such as percentage of recycled, reused or renewable content.",cloudfor_sustainability_waste_data_model_cd_mmanifest,item_sustainable_content,itemsustainablecontentId
Cloud for Sustainability Waste Data Model CDM manifest,WasteCharacteristicType,WasteCharacteristicType.1.0.cdm.json/WasteCharacteristicType,Stores all the different classifications for the waste quality characteristics.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_characteristic_type,wastecharacteristictypeId
Cloud for Sustainability Waste Data Model CDM manifest,WasteQualityCharacteristic,WasteQualityCharacteristic.1.0.cdm.json/WasteQualityCharacteristic,Stores information on the characteristics of the contaminant or chemical being tracked.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_quality_characteristic,wastequalitycharacteristicId
Cloud for Sustainability Waste Data Model CDM manifest,WasteQualityTestResult,WasteQualityTestResult.1.0.cdm.json/WasteQualityTestResult,Stores information on the result of the tests for tracking chemical/contaminant levels.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_quality_test_result,wastequalitytestresultId
Cloud for Sustainability Waste Data Model CDM manifest,WasteQuantity,WasteQuantity.1.0.cdm.json/WasteQuantity,Stores information on the actual waste quantity of the organization.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_quantity,wastequantityId
Cloud for Sustainability Waste Data Model CDM manifest,WasteTestMethod,WasteTestMethod.1.0.cdm.json/WasteTestMethod,Stores information on tests performed for the contaminant.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_test_method,wastetestmethodId
Cloud for Sustainability Waste Data Model CDM manifest,WasteType,WasteType.1.0.cdm.json/WasteType,Stores information on the type of waste generated.,cloudfor_sustainability_waste_data_model_cd_mmanifest,waste_type,wastetypeId
