cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
CommerceCustomers,RetailLoyaltyOtherActivityTypeEntity,RetailLoyaltyOtherActivityTypeEntity.1.0.1.cdm.json/RetailLoyaltyOtherActivityTypeEntity,,commerce_customers,retail_loyalty_other_activity_type_entity,
CommerceCustomers,RetailLoyaltyCardTierEntity,RetailLoyaltyCardTierEntity.1.1.cdm.json/RetailLoyaltyCardTierEntity,,commerce_customers,retail_loyalty_card_tier_entity,Relationship_RetailAffiliationRelationshipId
CommerceCustomers,RetailLoyaltyTierRuleEntity,RetailLoyaltyTierRuleEntity.1.0.1.cdm.json/RetailLoyaltyTierRuleEntity,,commerce_customers,retail_loyalty_tier_rule_entity,Relationship_RetailLoyaltyRewardPointRelationshipId
CommerceCustomers,RetailAffiliationPriceGroupEntity,RetailAffiliationPriceGroupEntity.1.1.cdm.json/RetailAffiliationPriceGroupEntity,,commerce_customers,retail_affiliation_price_group_entity,BackingTable_PriceDiscGroupRelationshipId
CommerceCustomers,RetailLoyaltyRewardPointTranslationEntity,RetailLoyaltyRewardPointTranslationEntity.1.1.cdm.json/RetailLoyaltyRewardPointTranslationEntity,,commerce_customers,retail_loyalty_reward_point_translation_entity,Relationship_LanguageTableRelationshipId
CommerceCustomers,RetailLoyaltySchemeExcludedAffiliationEntity,RetailLoyaltySchemeExcludedAffiliationEntity.1.1.cdm.json/RetailLoyaltySchemeExcludedAffiliationEntity,,commerce_customers,retail_loyalty_scheme_excluded_affiliation_entity,Relationship_RetailAffiliationRelationshipId
CommerceCustomers,RetailLoyaltyRedeemSchemeLineEntity,RetailLoyaltyRedeemSchemeLineEntity.1.1.cdm.json/RetailLoyaltyRedeemSchemeLineEntity,,commerce_customers,retail_loyalty_redeem_scheme_line_entity,Relationship_RetailLoyaltyRewardPointRelationshipId
CommerceCustomers,RetailLoyaltyCardRewardPointTransactionEntity,RetailLoyaltyCardRewardPointTransactionEntity.1.1.cdm.json/RetailLoyaltyCardRewardPointTransactionEntity,,commerce_customers,retail_loyalty_card_reward_point_transaction_entity,Relationship_CustTableRelationshipId
CommerceCustomers,RetailLoyaltyRewardPointEntity,RetailLoyaltyRewardPointEntity.1.1.cdm.json/RetailLoyaltyRewardPointEntity,,commerce_customers,retail_loyalty_reward_point_entity,Relationship_CurrencyRelationshipId
CommerceCustomers,RetailLoyaltyEntity,RetailLoyaltyEntity.1.1.cdm.json/RetailLoyaltyEntity,,commerce_customers,retail_loyalty_entity,
CommerceCustomers,RetailLoyaltyTierEntity,RetailLoyaltyTierEntity.1.1.cdm.json/RetailLoyaltyTierEntity,,commerce_customers,retail_loyalty_tier_entity,Relationship_DateIntervalRelationshipId
CommerceCustomers,RetailLoyaltyProgramTranslationEntity,RetailLoyaltyProgramTranslationEntity.1.1.cdm.json/RetailLoyaltyProgramTranslationEntity,,commerce_customers,retail_loyalty_program_translation_entity,Relationship_LanguageTableRelationshipId
CommerceCustomers,RetailExternalIdToCustomerMapEntity,RetailExternalIdToCustomerMapEntity.1.1.cdm.json/RetailExternalIdToCustomerMapEntity,,commerce_customers,retail_external_id_to_customer_map_entity,Relationship_FK_RetailIdentityProviderRelationshipId
CommerceCustomers,RetailLoyaltyPriceGroupEntity,RetailLoyaltyPriceGroupEntity.1.1.cdm.json/RetailLoyaltyPriceGroupEntity,,commerce_customers,retail_loyalty_price_group_entity,BackingTable_PriceDiscGroupRelationshipId
CommerceCustomers,RetailLoyaltyCardEntity,RetailLoyaltyCardEntity.1.1.cdm.json/RetailLoyaltyCardEntity,,commerce_customers,retail_loyalty_card_entity,Relationship_DirPartyTableRelationshipId
CommerceCustomers,RetailLoyaltyTierPriceGroupEntity,RetailLoyaltyTierPriceGroupEntity.1.1.cdm.json/RetailLoyaltyTierPriceGroupEntity,,commerce_customers,retail_loyalty_tier_price_group_entity,Relationship_PriceDiscGroupRelationshipId
CommerceCustomers,RetailLoyaltyTierTranslationEntity,RetailLoyaltyTierTranslationEntity.1.1.cdm.json/RetailLoyaltyTierTranslationEntity,,commerce_customers,retail_loyalty_tier_translation_entity,Relationship_LanguageTableRelationshipId
CommerceCustomers,RetailCustomerAffiliationEntity,RetailCustomerAffiliationEntity.1.0.1.cdm.json/RetailCustomerAffiliationEntity,,commerce_customers,retail_customer_affiliation_entity,Relationship_CustTableRelationshipId
CommerceCustomers,RetailLoyaltyEarnSchemeLineEntity,RetailLoyaltyEarnSchemeLineEntity.1.1.cdm.json/RetailLoyaltyEarnSchemeLineEntity,,commerce_customers,retail_loyalty_earn_scheme_line_entity,Relationship_FromActivityAmountCurrencyRelationshipId
CommerceCustomers,RetailLoyaltySchemeChannelEntity,RetailLoyaltySchemeChannelEntity.1.1.cdm.json/RetailLoyaltySchemeChannelEntity,,commerce_customers,retail_loyalty_scheme_channel_entity,Relationship_OMHierarchyTypeRelationshipId
CommerceCustomers,RetailLoyaltyCardRewardPointNonTransactionalActivityEntity,RetailLoyaltyCardRewardPointNonTransactionalActivityEntity.1.1.cdm.json/RetailLoyaltyCardRewardPointNonTransactionalActivityEntity,,commerce_customers,retail_loyalty_card_reward_point_non_transactional_activity_entity,Relationship_DirPartyTableRelationshipId
CommerceCustomers,RetailAffiliationTranslationEntity,RetailAffiliationTranslationEntity.1.1.cdm.json/RetailAffiliationTranslationEntity,,commerce_customers,retail_affiliation_translation_entity,Relationship_LanguageTableRelationshipId
CommerceCustomers,RetailAffiliationEntity,RetailAffiliationEntity.1.1.cdm.json/RetailAffiliationEntity,,commerce_customers,retail_affiliation_entity,BackingTable_RetailAffiliationRelationshipId
CommerceCustomers,RetailLoyaltySchemeEntity,RetailLoyaltySchemeEntity.1.1.cdm.json/RetailLoyaltySchemeEntity,,commerce_customers,retail_loyalty_scheme_entity,Relationship_RetailAffiliationRelationshipId
CommerceCustomers,RetailCustomerSearchFieldTranslationEntity,RetailCustomerSearchFieldTranslationEntity.1.1.cdm.json/RetailCustomerSearchFieldTranslationEntity,,commerce_customers,retail_customer_search_field_translation_entity,Relationship_LanguageTableRelationshipId
CommerceCustomers,RetailCustomerSearchFieldEntity,RetailCustomerSearchFieldEntity.1.1.cdm.json/RetailCustomerSearchFieldEntity,,commerce_customers,retail_customer_search_field_entity,Relationship_RetailCustomerSearchFieldRelationshipId
CommerceCustomers,RetailDirAddressBookPartyEntity,RetailDirAddressBookPartyEntity.1.1.cdm.json/RetailDirAddressBookPartyEntity,,commerce_customers,retail_dir_address_book_party_entity,Relationship_DirAddressBook_FKRelationshipId
