cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
CommerceEmployees,RetailStoreWorkShiftTranEntity,RetailStoreWorkShiftTranEntity.1.1.cdm.json/RetailStoreWorkShiftTranEntity,,commerce_employees,retail_store_work_shift_tran_entity,Relationship_RetailStaffTableRelationshipId
CommerceEmployees,RetailStaffPermissionGroupEntity,RetailStaffPermissionGroupEntity.1.1.cdm.json/RetailStaffPermissionGroupEntity,,commerce_employees,retail_staff_permission_group_entity,Relationship_CompanyRelationshipId
CommerceEmployees,RetailUserStoreEntity,RetailUserStoreEntity.1.1.cdm.json/RetailUserStoreEntity,,commerce_employees,retail_user_store_entity,Relationship_RetailStoreTableRelationshipId
CommerceEmployees,RetailWorkerClientBookEntity,RetailWorkerClientBookEntity.1.0.1.cdm.json/RetailWorkerClientBookEntity,,commerce_employees,retail_worker_client_book_entity,Relationship_LanguageTableRelationshipId
CommerceEmployees,RetailStoreWorkShiftEntity,RetailStoreWorkShiftEntity.1.1.cdm.json/RetailStoreWorkShiftEntity,,commerce_employees,retail_store_work_shift_entity,Relationship_RetailStatementJourRelationshipId
CommerceEmployees,RetailStoreWorkShiftTran2Entity,RetailStoreWorkShiftTran2Entity.1.1.cdm.json/RetailStoreWorkShiftTran2Entity,,commerce_employees,retail_store_work_shift_tran2_entity,Relationship_RetailStaffTableRelationshipId
CommerceEmployees,MCRChannelUserEntity,MCRChannelUserEntity.1.1.cdm.json/MCRChannelUserEntity,,commerce_employees,mcr_channel_user_entity,BackingTable_CurrencyRelationshipId
CommerceEmployees,RetailStaffEntity,RetailStaffEntity.1.1.cdm.json/RetailStaffEntity,,commerce_employees,retail_staff_entity,Relationship_RetailDeviceTypesRelationshipId
CommerceEmployees,RetailTrialUser,RetailTrialUser.1.0.1.cdm.json/RetailTrialUser,,commerce_employees,retail_trial_user,
CommerceEmployees,RetailTrialSystemSecurityUserRoleAssociationEntity,RetailTrialSystemSecurityUserRoleAssociationEntity.1.0.1.cdm.json/RetailTrialSystemSecurityUserRoleAssociationEntity,,commerce_employees,retail_trial_system_security_user_role_association_entity,
