cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
DiagnosticCore,BodySite,BodySite.1.2.cdm.json/BodySite,Record details about the anatomical location of a specimen or body part. This entity may be used when a coded concept does not provide the necessary detail needed for the use case.,diagnostic_core,body_site,createdBy
DiagnosticCore,ObservationBasedOn,ObservationBasedOn.1.2.cdm.json/ObservationBasedOn,"A plan, proposal or order that is fulfilled in whole or in part by this event.",diagnostic_core,observation_based_on,createdBy
DiagnosticCore,ObservationCategory,ObservationCategory.1.2.cdm.json/ObservationCategory,A code that classifies the general type of observation being made.,diagnostic_core,observation_category,createdBy
DiagnosticCore,ObservationCode,ObservationCode.1.1.cdm.json/ObservationCode,Describes what was observed.,diagnostic_core,observation_code,createdBy
DiagnosticCore,ObservationComponent,ObservationComponent.1.2.cdm.json/ObservationComponent,Some observations have multiple component observations. These component observations are expressed as separate code value pairs that share the same attributes.,diagnostic_core,observation_component,createdBy
DiagnosticCore,ObservationComponentReferenceRange,ObservationComponentReferenceRange.1.2.cdm.json/ObservationComponentReferenceRange,Guidance on how to interpret the value by comparison to a normal or recommended range.,diagnostic_core,observation_component_reference_range,createdBy
DiagnosticCore,ObservationInterpretation,ObservationInterpretation.1.1.cdm.json/ObservationInterpretation,The assessment made based on the result of the observation.,diagnostic_core,observation_interpretation,createdBy
DiagnosticCore,ObservationMethod,ObservationMethod.1.1.cdm.json/ObservationMethod,Indicates the mechanism used to perform the observation.,diagnostic_core,observation_method,createdBy
DiagnosticCore,ObservationPerformer,ObservationPerformer.1.1.cdm.json/ObservationPerformer,"Who was responsible for asserting the observed value as ""true"".",diagnostic_core,observation_performer,createdBy
DiagnosticCore,ObservationReferenceRange,ObservationReferenceRange.1.2.cdm.json/ObservationReferenceRange,Guidance on how to interpret the value by comparison to a normal or recommended range.,diagnostic_core,observation_reference_range,createdBy
DiagnosticCore,ObservationReferenceRangeAppliesTo,ObservationReferenceRangeAppliesTo.1.2.cdm.json/ObservationReferenceRangeAppliesTo,"Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race.",diagnostic_core,observation_reference_range_applies_to,createdBy
DiagnosticCore,ObservationRelatedResource,ObservationRelatedResource.1.2.cdm.json/ObservationRelatedResource,A reference to another entity(usually another Observation) whose relationship is defined by the relationship type code.,diagnostic_core,observation_related_resource,createdBy
DiagnosticCore,SpecimenContainer,SpecimenContainer.1.2.cdm.json/SpecimenContainer,The container holding the specimen. The recursive nature of containers; i.e. blood in tube in tray in rack is not addressed here.,diagnostic_core,specimen_container,createdBy
DiagnosticCore,SpecimenParent,SpecimenParent.1.2.cdm.json/SpecimenParent,Reference to the parent (source) specimen which is used when the specimen was either derived from or a component of another specimen.,diagnostic_core,specimen_parent,createdBy
DiagnosticCore,SpecimenProcessing,SpecimenProcessing.1.2.cdm.json/SpecimenProcessing,Details concerning processing and processing steps for the specimen.,diagnostic_core,specimen_processing,createdBy
DiagnosticCore,SpecimenProcessingAdditive,SpecimenProcessingAdditive.1.2.cdm.json/SpecimenProcessingAdditive,Material used in the processing step.,diagnostic_core,specimen_processing_additive,createdBy
DiagnosticCore,SpecimenRequest,SpecimenRequest.1.2.cdm.json/SpecimenRequest,Details concerning a test or procedure request that required a specimen to be collected.,diagnostic_core,specimen_request,createdBy
