cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
FinancialDimensions,DimAttributeTrvTravelTxtEntity,DimAttributeTrvTravelTxtEntity.1.2.cdm.json/DimAttributeTrvTravelTxtEntity,,financial_dimensions,dim_attribute_trv_travel_txt_entity,Relationship_CompanyRelationshipId
FinancialDimensions,DimAttributeOMValueStreamEntity,DimAttributeOMValueStreamEntity.1.2.cdm.json/DimAttributeOMValueStreamEntity,,financial_dimensions,dim_attribute_om_value_stream_entity,Relationship_LanguageTableRelationshipId
FinancialDimensions,DimensionParametersEntity,DimensionParametersEntity.1.2.cdm.json/DimensionParametersEntity,,financial_dimensions,dimension_parameters_entity,
FinancialDimensions,DimensionSetEntity,DimensionSetEntity.1.2.cdm.json/DimensionSetEntity,,financial_dimensions,dimension_set_entity,Relationship_MainAccountRelationshipId
FinancialDimensions,DerivedDimensionAttributeValuesEntity,DerivedDimensionAttributeValuesEntity.1.2.cdm.json/DerivedDimensionAttributeValuesEntity,,financial_dimensions,derived_dimension_attribute_values_entity,BackingTable_DimensionAttributeRelationshipId
FinancialDimensions,DimensionHierarchyBaseEntity,DimensionHierarchyBaseEntity.1.2.cdm.json/DimensionHierarchyBaseEntity,,financial_dimensions,dimension_hierarchy_base_entity,
FinancialDimensions,FinancialDimensionValueTranslationEntity,FinancialDimensionValueTranslationEntity.1.2.cdm.json/FinancialDimensionValueTranslationEntity,,financial_dimensions,financial_dimension_value_translation_entity,BackingTable_DimensionAttributeRelationshipId
FinancialDimensions,FinancialDimensionSetEntity,FinancialDimensionSetEntity.1.2.cdm.json/FinancialDimensionSetEntity,,financial_dimensions,financial_dimension_set_entity,BackingTable_DimensionAttributeRelationshipId
FinancialDimensions,FinancialDimensionValueTotalAccountIntervalEntity,FinancialDimensionValueTotalAccountIntervalEntity.1.1.1.cdm.json/FinancialDimensionValueTotalAccountIntervalEntity,,financial_dimensions,financial_dimension_value_total_account_interval_entity,BackingTable_DimensionAttributeRelationshipId
FinancialDimensions,OMDimensionRelationshipConstraintEntity,OMDimensionRelationshipConstraintEntity.1.2.cdm.json/OMDimensionRelationshipConstraintEntity,,financial_dimensions,om_dimension_relationship_constraint_entity,Relationship_DirRelationshipTypeTableRelationshipId
FinancialDimensions,FinancialDimensionValueEntity,FinancialDimensionValueEntity.1.1.1.cdm.json/FinancialDimensionValueEntity,,financial_dimensions,financial_dimension_value_entity,BackingTable_DimensionAttributeRelationshipId
FinancialDimensions,DimensionEnumerationEntity,DimensionEnumerationEntity.1.2.cdm.json/DimensionEnumerationEntity,,financial_dimensions,dimension_enumeration_entity,
FinancialDimensions,DimAttributeFinancialTagEntity,DimAttributeFinancialTagEntity.1.2.cdm.json/DimAttributeFinancialTagEntity,,financial_dimensions,dim_attribute_financial_tag_entity,Relationship_FinancialTagCategoryRelationshipId
FinancialDimensions,DimensionAliasEntity,DimensionAliasEntity.1.2.cdm.json/DimensionAliasEntity,,financial_dimensions,dimension_alias_entity,Relationship_MainAcountRelationshipId
FinancialDimensions,DimensionIntegrationFormatEntity,DimensionIntegrationFormatEntity.1.2.cdm.json/DimensionIntegrationFormatEntity,,financial_dimensions,dimension_integration_format_entity,
