cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
FixedAssets,AssetMajorTypeEntity,AssetMajorTypeEntity.1.2.cdm.json/AssetMajorTypeEntity,,fixed_assets,asset_major_type_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetProvisionTypeEntity,AssetProvisionTypeEntity.1.2.cdm.json/AssetProvisionTypeEntity,,fixed_assets,asset_provision_type_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetValueModelSetupShiftDepreciationEntity,AssetValueModelSetupShiftDepreciationEntity.1.2.cdm.json/AssetValueModelSetupShiftDepreciationEntity,,fixed_assets,asset_value_model_setup_shift_depreciation_entity,Relationship_AssetBookTable_FKRelationshipId
FixedAssets,AssetAcquisitionMethodEntity,AssetAcquisitionMethodEntity.1.2.cdm.json/AssetAcquisitionMethodEntity,,fixed_assets,asset_acquisition_method_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetGroupBookSpecialDepreciationAllowanceEntity,AssetGroupBookSpecialDepreciationAllowanceEntity.1.2.cdm.json/AssetGroupBookSpecialDepreciationAllowanceEntity,,fixed_assets,asset_group_book_special_depreciation_allowance_entity,Relationship_AssetDepreciationProfileRelationshipId
FixedAssets,AssetFixedAssetV2Entity,AssetFixedAssetV2Entity.1.2.cdm.json/AssetFixedAssetV2Entity,,fixed_assets,asset_fixed_asset_v2_entity,Relationship_AssetMajorTypeEntityRelationshipId
FixedAssets,AssetSourceTypeEntity,AssetSourceTypeEntity.1.1.1.cdm.json/AssetSourceTypeEntity,,fixed_assets,asset_source_type_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetAllocationRuleEntity,AssetAllocationRuleEntity.1.2.cdm.json/AssetAllocationRuleEntity,,fixed_assets,asset_allocation_rule_entity,Relationship_DimensionAttributeRelationshipId
FixedAssets,AssetPostingProfileEntity,AssetPostingProfileEntity.1.2.cdm.json/AssetPostingProfileEntity,,fixed_assets,asset_posting_profile_entity,Relationship_AssetDepreciationProfileRelationshipId
FixedAssets,AssetJournalEntity,AssetJournalEntity.1.2.cdm.json/AssetJournalEntity,,fixed_assets,asset_journal_entity,BackingTable_TaxVATNumTableRelationshipId
FixedAssets,AssetValueModelSetupDerivedValueModelEntity,AssetValueModelSetupDerivedValueModelEntity.1.2.cdm.json/AssetValueModelSetupDerivedValueModelEntity,,fixed_assets,asset_value_model_setup_derived_value_model_entity,Relationship_AssetDepreciationProfileRelationshipId
FixedAssets,AssetImpairmentCashGeneratingUnitSharedAssetsAllocationEntity,AssetImpairmentCashGeneratingUnitSharedAssetsAllocationEntity.1.2.cdm.json/AssetImpairmentCashGeneratingUnitSharedAssetsAllocationEntity,,fixed_assets,asset_impairment_cash_generating_unit_shared_assets_allocation_entity,BackingTable_AssetImpairmentCGUGroup_JPRelationshipId
FixedAssets,AssetFixedAssetEntity,AssetFixedAssetEntity.1.1.1.cdm.json/AssetFixedAssetEntity,,fixed_assets,asset_fixed_asset_entity,Relationship_AssetMajorTypeEntityRelationshipId
FixedAssets,AssetUndepreciatedBalanceScheduleEntity,AssetUndepreciatedBalanceScheduleEntity.1.2.cdm.json/AssetUndepreciatedBalanceScheduleEntity,,fixed_assets,asset_undepreciated_balance_schedule_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetRevaluationGroupEntity,AssetRevaluationGroupEntity.1.2.cdm.json/AssetRevaluationGroupEntity,,fixed_assets,asset_revaluation_group_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetPropertyGroupEntity,AssetPropertyGroupEntity.1.2.cdm.json/AssetPropertyGroupEntity,,fixed_assets,asset_property_group_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetDepreciationProfileEntity,AssetDepreciationProfileEntity.1.2.cdm.json/AssetDepreciationProfileEntity,,fixed_assets,asset_depreciation_profile_entity,Relationship_AssetDepRateSchedule_JPRelationshipId
FixedAssets,AssetInventoryFixedAssetTransferJournalNameEntity,AssetInventoryFixedAssetTransferJournalNameEntity.1.1.1.cdm.json/AssetInventoryFixedAssetTransferJournalNameEntity,,fixed_assets,asset_inventory_fixed_asset_transfer_journal_name_entity,Relationship_BlockingUserGroupRelationshipId
FixedAssets,AssetJournalLineEntity,AssetJournalLineEntity.1.2.cdm.json/AssetJournalLineEntity,,fixed_assets,asset_journal_line_entity,Relationship_LegalEntityRelationshipId
FixedAssets,AssetAcceleratedDepreciationGroupEntity,AssetAcceleratedDepreciationGroupEntity.1.2.cdm.json/AssetAcceleratedDepreciationGroupEntity,,fixed_assets,asset_accelerated_depreciation_group_entity,Relationship_AssetLocationRelationshipId
FixedAssets,AssetBookV2Entity,AssetBookV2Entity.1.2.cdm.json/AssetBookV2Entity,,fixed_assets,asset_book_v2_entity,Relationship_DimensionDimensionSetRelationshipId
FixedAssets,AssetImpairmentIndicatorEntity,AssetImpairmentIndicatorEntity.1.2.cdm.json/AssetImpairmentIndicatorEntity,,fixed_assets,asset_impairment_indicator_entity,Relationship_AssetBookRelationshipId
FixedAssets,AssetDepreciationRateScheduleEntity,AssetDepreciationRateScheduleEntity.1.2.cdm.json/AssetDepreciationRateScheduleEntity,,fixed_assets,asset_depreciation_rate_schedule_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetRBSLFactorEntity,AssetRBSLFactorEntity.1.2.cdm.json/AssetRBSLFactorEntity,,fixed_assets,asset_rbsl_factor_entity,Relationship_CompanyRelationshipId
FixedAssets,AssetImpairmentCashGeneratingUnitSharedAssetEntity,AssetImpairmentCashGeneratingUnitSharedAssetEntity.1.2.cdm.json/AssetImpairmentCashGeneratingUnitSharedAssetEntity,,fixed_assets,asset_impairment_cash_generating_unit_shared_asset_entity,Relationship_AssetBookRelationshipId
FixedAssets,AssetSpecialDepreciationAllowanceEntity,AssetSpecialDepreciationAllowanceEntity.1.2.cdm.json/AssetSpecialDepreciationAllowanceEntity,,fixed_assets,asset_special_depreciation_allowance_entity,Relationship_DefaultDimension_RURelationshipId
FixedAssets,AssetReductionEntryProfileEntity,AssetReductionEntryProfileEntity.1.2.cdm.json/AssetReductionEntryProfileEntity,,fixed_assets,asset_reduction_entry_profile_entity,Relationship_AssetDocumentTable_JPRelationshipId
