cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Framework,ExpressionProjectionField,ExpressionProjectionField.1.2.cdm.json/ExpressionProjectionField,,framework,expression_projection_field,Relationship_ExpressionRelationshipId
Framework,AifSqlCdcEnabledTables,AifSqlCdcEnabledTables.1.1.cdm.json/AifSqlCdcEnabledTables,,framework,aif_sql_cdc_enabled_tables,
Framework,ExpressionProjectionDatasource,ExpressionProjectionDatasource.1.2.cdm.json/ExpressionProjectionDatasource,,framework,expression_projection_datasource,Relationship_ExpressionRelationshipId
Framework,ReleaseUpdateBulkCopyLog,ReleaseUpdateBulkCopyLog.1.2.cdm.json/ReleaseUpdateBulkCopyLog,,framework,release_update_bulk_copy_log,
Framework,SRSReportQuery,SRSReportQuery.1.1.cdm.json/SRSReportQuery,,framework,srs_report_query,
Framework,SysCheckListTable,SysCheckListTable.1.2.cdm.json/SysCheckListTable,,framework,sys_check_list_table,Relationship_LanguageTableRelationshipId
Framework,ReleaseUpdateScripts,ReleaseUpdateScripts.1.2.cdm.json/ReleaseUpdateScripts,,framework,release_update_scripts,
Framework,NumberSequenceGroup,NumberSequenceGroup.1.1.cdm.json/NumberSequenceGroup,,framework,number_sequence_group,numberSequenceGroupId
Framework,ReleaseUpdateSpecialFieldMapping,ReleaseUpdateSpecialFieldMapping.1.1.cdm.json/ReleaseUpdateSpecialFieldMapping,,framework,release_update_special_field_mapping,
Framework,AifSqlCtVersion,AifSqlCtVersion.1.1.cdm.json/AifSqlCtVersion,,framework,aif_sql_ct_version,
Framework,SRSReportParameters,SRSReportParameters.1.2.cdm.json/SRSReportParameters,,framework,srs_report_parameters,Relationship_LanguageTableRelationshipId
Framework,StateMachineLog,StateMachineLog.1.1.cdm.json/StateMachineLog,,framework,state_machine_log,
Framework,ReleaseUpdateConfiguration,ReleaseUpdateConfiguration.1.1.cdm.json/ReleaseUpdateConfiguration,,framework,release_update_configuration,
Framework,EventCUD,EventCUD.1.1.cdm.json/EventCUD,,framework,event_cud,
Framework,ExpressionPredicate,ExpressionPredicate.1.2.cdm.json/ExpressionPredicate,,framework,expression_predicate,Relationship_ExpressionRelationshipId
Framework,SysCheckListItemTable,SysCheckListItemTable.1.2.cdm.json/SysCheckListItemTable,,framework,sys_check_list_item_table,Relationship_LanguageTableRelationshipId
Framework,AifSqlCtTriggers,AifSqlCtTriggers.1.1.cdm.json/AifSqlCtTriggers,,framework,aif_sql_ct_triggers,
Framework,ReleaseUpdateBulkCopyParameters,ReleaseUpdateBulkCopyParameters.1.1.cdm.json/ReleaseUpdateBulkCopyParameters,,framework,release_update_bulk_copy_parameters,
Framework,EventInbox,EventInbox.1.2.cdm.json/EventInbox,,framework,event_inbox,Relationship_BatchGroupRelationshipId
Framework,NumberSequenceHistory,NumberSequenceHistory.1.2.cdm.json/NumberSequenceHistory,,framework,number_sequence_history,Relationship_NumberSequenceScopeRelationshipId
Framework,SrsReportQueryStringDetailsCleanerConfig,SrsReportQueryStringDetailsCleanerConfig.1.1.cdm.json/SrsReportQueryStringDetailsCleanerConfig,,framework,srs_report_query_string_details_cleaner_config,
Framework,ReleaseUpdateBulkCopyFieldErrors,ReleaseUpdateBulkCopyFieldErrors.1.2.cdm.json/ReleaseUpdateBulkCopyFieldErrors,,framework,release_update_bulk_copy_field_errors,
Framework,NumberSequenceDatatype,NumberSequenceDatatype.1.1.cdm.json/NumberSequenceDatatype,,framework,number_sequence_datatype,
Framework,ReleaseUpdatePrioritizedJobs,ReleaseUpdatePrioritizedJobs.1.2.cdm.json/ReleaseUpdatePrioritizedJobs,,framework,release_update_prioritized_jobs,
Framework,ReleaseUpdateTransformTargetField,ReleaseUpdateTransformTargetField.1.2.cdm.json/ReleaseUpdateTransformTargetField,,framework,release_update_transform_target_field,
Framework,ReleaseUpdateScriptDependency,ReleaseUpdateScriptDependency.1.1.cdm.json/ReleaseUpdateScriptDependency,,framework,release_update_script_dependency,
Framework,NumberSequenceDeployment,NumberSequenceDeployment.1.2.cdm.json/NumberSequenceDeployment,,framework,number_sequence_deployment,Relationship_NumberSequenceScopeRelationshipId
Framework,SRSTmpDataStore,SRSTmpDataStore.1.2.cdm.json/SRSTmpDataStore,,framework,srs_tmp_data_store,Relationship_LanguageTableRelationshipId
Framework,SrsDefaultPrintDestination,SrsDefaultPrintDestination.1.1.cdm.json/SrsDefaultPrintDestination,,framework,srs_default_print_destination,
Framework,ReleaseUpdateDataAreaOffsets,ReleaseUpdateDataAreaOffsets.1.1.cdm.json/ReleaseUpdateDataAreaOffsets,,framework,release_update_data_area_offsets,
Framework,SrsReportQueryStringDetails,SrsReportQueryStringDetails.1.1.cdm.json/SrsReportQueryStringDetails,,framework,srs_report_query_string_details,
Framework,ExpressionTable,ExpressionTable.1.1.cdm.json/ExpressionTable,,framework,expression_table,
Framework,ReleaseUpdateLog,ReleaseUpdateLog.1.1.cdm.json/ReleaseUpdateLog,,framework,release_update_log,
Framework,NumberSequenceTTS,NumberSequenceTTS.1.2.cdm.json/NumberSequenceTTS,,framework,number_sequence_tts,Relationship_NumberSequenceTableRelationshipId
Framework,SysAOSMeasurement,SysAOSMeasurement.1.1.cdm.json/SysAOSMeasurement,,framework,sys_aos_measurement,
Framework,ReleaseUpdateValidation,ReleaseUpdateValidation.1.1.cdm.json/ReleaseUpdateValidation,,framework,release_update_validation,
Framework,ReleaseUpdateTransformTable,ReleaseUpdateTransformTable.1.1.cdm.json/ReleaseUpdateTransformTable,,framework,release_update_transform_table,
Framework,BusinessEventsCatalogSecurity,BusinessEventsCatalogSecurity.1.2.cdm.json/BusinessEventsCatalogSecurity,,framework,business_events_catalog_security,
Framework,ReleaseUpdateSysDeleted,ReleaseUpdateSysDeleted.1.1.cdm.json/ReleaseUpdateSysDeleted,,framework,release_update_sys_deleted,
Framework,SRSReportPrintDestinationSettings,SRSReportPrintDestinationSettings.1.2.cdm.json/SRSReportPrintDestinationSettings,,framework,srs_report_print_destination_settings,Relationship_LanguageTableRelationshipId
Framework,ReleaseUpdateDynamicDependency,ReleaseUpdateDynamicDependency.1.1.cdm.json/ReleaseUpdateDynamicDependency,,framework,release_update_dynamic_dependency,
Framework,BIConfiguration,BIConfiguration.1.1.cdm.json/BIConfiguration,,framework,bi_configuration,
Framework,ReleaseUpdateTableRelationType,ReleaseUpdateTableRelationType.1.1.cdm.json/ReleaseUpdateTableRelationType,,framework,release_update_table_relation_type,
Framework,ReleaseUpdateBulkCopyTable,ReleaseUpdateBulkCopyTable.1.1.cdm.json/ReleaseUpdateBulkCopyTable,,framework,release_update_bulk_copy_table,
Framework,ReleaseUpdateJobStatus,ReleaseUpdateJobStatus.1.2.cdm.json/ReleaseUpdateJobStatus,,framework,release_update_job_status,Relationship_BatchGroupRelationshipId
Framework,ReleaseUpdateBulkCopyTableExceptions,ReleaseUpdateBulkCopyTableExceptions.1.1.cdm.json/ReleaseUpdateBulkCopyTableExceptions,,framework,release_update_bulk_copy_table_exceptions,
Framework,ReleaseUpdateScriptsUsedTables,ReleaseUpdateScriptsUsedTables.1.2.cdm.json/ReleaseUpdateScriptsUsedTables,,framework,release_update_scripts_used_tables,
Framework,ReleaseUpdateScriptsHistory,ReleaseUpdateScriptsHistory.1.2.cdm.json/ReleaseUpdateScriptsHistory,,framework,release_update_scripts_history,Relationship_BatchGroupRelationshipId
Framework,SysExceptionTable,SysExceptionTable.1.1.cdm.json/SysExceptionTable,,framework,sys_exception_table,
