cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
GAB,FiasRoomEntity,FiasRoomEntity.1.1.1.cdm.json/FiasRoomEntity,,gab,fias_room_entity,Relationship_CompanyRelationshipId
GAB,FiasSteadEntity,FiasSteadEntity.1.2.cdm.json/FiasSteadEntity,,gab,fias_stead_entity,Relationship_CompanyRelationshipId
GAB,FiasFlatTypeEntity,FiasFlatTypeEntity.1.2.cdm.json/FiasFlatTypeEntity,,gab,fias_flat_type_entity,Relationship_CompanyRelationshipId
GAB,LogisticsAddressEnterpriseZipCodeJapanEntity,LogisticsAddressEnterpriseZipCodeJapanEntity.1.2.cdm.json/LogisticsAddressEnterpriseZipCodeJapanEntity,,gab,logistics_address_enterprise_zip_code_japan_entity,Relationship_CityRelationshipId
GAB,LegalRepresentativeContactEntity,LegalRepresentativeContactEntity.1.1.1.cdm.json/LegalRepresentativeContactEntity,,gab,legal_representative_contact_entity,BackingTable_LegalRepresentative_BRRelationshipId
GAB,LogisticsAddressZipcodeChinaEntity,LogisticsAddressZipcodeChinaEntity.1.2.cdm.json/LogisticsAddressZipcodeChinaEntity,,gab,logistics_address_zipcode_china_entity,Relationship_CityRelationshipId
GAB,FiasAddressObjectEntity,FiasAddressObjectEntity.1.2.cdm.json/FiasAddressObjectEntity,,gab,fias_address_object_entity,Relationship_CompanyRelationshipId
GAB,FiasHouseEntity,FiasHouseEntity.1.2.cdm.json/FiasHouseEntity,,gab,fias_house_entity,Relationship_CompanyRelationshipId
GAB,FiasStructureStatusEntity,FiasStructureStatusEntity.1.2.cdm.json/FiasStructureStatusEntity,,gab,fias_structure_status_entity,Relationship_CompanyRelationshipId
GAB,LogisticsAddressStreetEntity,LogisticsAddressStreetEntity.1.2.cdm.json/LogisticsAddressStreetEntity,,gab,logistics_address_street_entity,Relationship_City_FKRelationshipId
GAB,FiasEstateStatusEntity,FiasEstateStatusEntity.1.2.cdm.json/FiasEstateStatusEntity,,gab,fias_estate_status_entity,Relationship_CompanyRelationshipId
GAB,FIASOperationStatusesEntity,FIASOperationStatusesEntity.1.2.cdm.json/FIASOperationStatusesEntity,,gab,fias_operation_statuses_entity,Relationship_CompanyRelationshipId
GAB,LogisticsAddressFiasGuidCodesEntity,LogisticsAddressFiasGuidCodesEntity.1.1.1.cdm.json/LogisticsAddressFiasGuidCodesEntity,,gab,logistics_address_fias_guid_codes_entity,Relationship_CityIdRelationshipId
GAB,LegalRepresentativeEntity,LegalRepresentativeEntity.1.2.cdm.json/LegalRepresentativeEntity,,gab,legal_representative_entity,Relationship_FiscalOrganization_BRRelationshipId
GAB,BranchEntity,BranchEntity.1.2.cdm.json/BranchEntity,,gab,branch_entity,Relationship_AlcoholRegulationAuthority_RURelationshipId
GAB,LogisticsAddressZipcodeJapanV2Entity,LogisticsAddressZipcodeJapanV2Entity.1.2.cdm.json/LogisticsAddressZipcodeJapanV2Entity,,gab,logistics_address_zipcode_japan_v2_entity,Relationship_CityRelationshipId
