cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
GeneralLedger,PlSADDocumentInvoiceLedgerJournalEntity,PlSADDocumentInvoiceLedgerJournalEntity.1.2.cdm.json/PlSADDocumentInvoiceLedgerJournalEntity,,general_ledger,pl_sad_document_invoice_ledger_journal_entity,BackingTable_PlSADFinanceTableRelationshipId
GeneralLedger,LedgerPrintLayoutEntity,LedgerPrintLayoutEntity.1.2.cdm.json/LedgerPrintLayoutEntity,,general_ledger,ledger_print_layout_entity,Relationship_CompanyRelationshipId
GeneralLedger,LedgerJournalHeaderEntity,LedgerJournalHeaderEntity.1.2.cdm.json/LedgerJournalHeaderEntity,,general_ledger,ledger_journal_header_entity,Relationship_LegalEntityRelationshipId
GeneralLedger,DimAttributeInventTableEntity,DimAttributeInventTableEntity.1.2.cdm.json/DimAttributeInventTableEntity,,general_ledger,dim_attribute_invent_table_entity,Relationship_AlcoholManufacturer_RURelationshipId
GeneralLedger,LedgerBalanceControlEntity,LedgerBalanceControlEntity.1.2.cdm.json/LedgerBalanceControlEntity,,general_ledger,ledger_balance_control_entity,Relationship_MainAccountCategoryRelationshipId
GeneralLedger,LedgerJournalEntity,LedgerJournalEntity.1.2.cdm.json/LedgerJournalEntity,,general_ledger,ledger_journal_entity,BackingTable_TaxVATNumTableRelationshipId
GeneralLedger,LedgerRRGTransType_RUEntity,LedgerRRGTransType_RUEntity.1.2.cdm.json/LedgerRRGTransType_RUEntity,,general_ledger,ledger_rrg_trans_type_ru_entity,Relationship_LedgerRRGCellTableRelationshipId
GeneralLedger,LedgerConsolidateAccountGroupV2Entity,LedgerConsolidateAccountGroupV2Entity.1.2.cdm.json/LedgerConsolidateAccountGroupV2Entity,,general_ledger,ledger_consolidate_account_group_v2_entity,Relationship_MainAccountCategoryRelationshipId
GeneralLedger,LedgerAccrualSchemesEntity,LedgerAccrualSchemesEntity.1.2.cdm.json/LedgerAccrualSchemesEntity,,general_ledger,ledger_accrual_schemes_entity,Relationship_CreditLedgerDimensionRelationshipId
GeneralLedger,DimAttributeSmmCampaignTableEntity,DimAttributeSmmCampaignTableEntity.1.2.cdm.json/DimAttributeSmmCampaignTableEntity,,general_ledger,dim_attribute_smm_campaign_table_entity,Relationship_ParentProjectRelationshipId
GeneralLedger,LedgerJournalLineCDSEntity,LedgerJournalLineCDSEntity.1.1.1.cdm.json/LedgerJournalLineCDSEntity,,general_ledger,ledger_journal_line_cds_entity,Relationship_LegalEntityRelationshipId
