cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
HRM,CourseParticipantStatusByEmailMserp,CourseParticipantStatusByEmailMserp.1.0.cdm.json/CourseParticipantStatusByEmailMserp,,hrm,course_participant_status_by_email_mserp,hcmcourseparticipantstatusbyemailentityId
HRM,CoursesMserp,CoursesMserp.1.0.cdm.json/CoursesMserp,,hrm,courses_mserp,hcmcoursev2entityId
HRM,VirtualCoursesMserp,VirtualCoursesMserp.1.0.cdm.json/VirtualCoursesMserp,,hrm,virtual_courses_mserp,hcmvirtualcourseentityId
HRM,HcmBICurrentWorkerEntity,HcmBICurrentWorkerEntity.1.0.1.cdm.json/HcmBICurrentWorkerEntity,,hrm,hcm_bi_current_worker_entity,
HRM,HcmCompensationPerformanceRatingEntity,HcmCompensationPerformanceRatingEntity.1.2.cdm.json/HcmCompensationPerformanceRatingEntity,,hrm,hcm_compensation_performance_rating_entity,Relationship_CompanyRelationshipId
HRM,HcmBIWorkerTrendEntity,HcmBIWorkerTrendEntity.1.0.1.cdm.json/HcmBIWorkerTrendEntity,,hrm,hcm_bi_worker_trend_entity,
HRM,HcmPositionForecastEntity,HcmPositionForecastEntity.1.2.cdm.json/HcmPositionForecastEntity,,hrm,hcm_position_forecast_entity,Relationship_CompanyInfoRelationshipId
HRM,EmplPostingEntity_W,EmplPostingEntity_W.1.2.cdm.json/EmplPostingEntity_W,,hrm,empl_posting_entity_w,Relationship_DimensionHierarchyRelationshipId
HRM,HcmCompensationPayPerformanceAllocationEntity,HcmCompensationPayPerformanceAllocationEntity.1.2.cdm.json/HcmCompensationPayPerformanceAllocationEntity,,hrm,hcm_compensation_pay_performance_allocation_entity,BackingTable_HRMCompPerfPlanRelationshipId
HRM,HcmBIEmployedApplicantEntity,HcmBIEmployedApplicantEntity.1.2.cdm.json/HcmBIEmployedApplicantEntity,,hrm,hcm_bi_employed_applicant_entity,Relationship_LanguageTableRelationshipId
HRM,HcmTotalCompStatementSectionTaxEntity,HcmTotalCompStatementSectionTaxEntity.1.2.cdm.json/HcmTotalCompStatementSectionTaxEntity,,hrm,hcm_total_comp_statement_section_tax_entity,Relationship_PayrollTaxGroupRelationshipId
HRM,HcmBITerminatedApplicantEntity,HcmBITerminatedApplicantEntity.1.1.1.cdm.json/HcmBITerminatedApplicantEntity,,hrm,hcm_bi_terminated_applicant_entity,Relationship_LanguageTableRelationshipId
HRM,HcmCompensationPerformancePlansEntity,HcmCompensationPerformancePlansEntity.1.2.cdm.json/HcmCompensationPerformancePlansEntity,,hrm,hcm_compensation_performance_plans_entity,Relationship_CompanyRelationshipId
HRM,HcmBudgetCostElementEntity,HcmBudgetCostElementEntity.1.2.cdm.json/HcmBudgetCostElementEntity,,hrm,hcm_budget_cost_element_entity,
HRM,HcmSignLimitParametersEntity,HcmSignLimitParametersEntity.1.2.cdm.json/HcmSignLimitParametersEntity,,hrm,hcm_sign_limit_parameters_entity,
HRM,HcmTotalCompStatementSectionEarningEntity,HcmTotalCompStatementSectionEarningEntity.1.1.1.cdm.json/HcmTotalCompStatementSectionEarningEntity,,hrm,hcm_total_comp_statement_section_earning_entity,
HRM,HcmWorkerAdvHolderTableEntity,HcmWorkerAdvHolderTableEntity.1.2.cdm.json/HcmWorkerAdvHolderTableEntity,,hrm,hcm_worker_adv_holder_table_entity,Relationship_HcmWorkerGroup_FKRelationshipId
HRM,HcmBITerminatedWorkerEntity,HcmBITerminatedWorkerEntity.1.0.1.cdm.json/HcmBITerminatedWorkerEntity,,hrm,hcm_bi_terminated_worker_entity,
HRM,HcmEmploymentContractorEntity,HcmEmploymentContractorEntity.1.2.cdm.json/HcmEmploymentContractorEntity,,hrm,hcm_employment_contractor_entity,Relationship_DimensionDimensionSetRelationshipId
HRM,HcmCompensationPayPerformanceAllocationLineEntity,HcmCompensationPayPerformanceAllocationLineEntity.1.2.cdm.json/HcmCompensationPayPerformanceAllocationLineEntity,,hrm,hcm_compensation_pay_performance_allocation_line_entity,Relationship_CompanyRelationshipId
HRM,HcmBIPerformanceEntity,HcmBIPerformanceEntity.1.2.cdm.json/HcmBIPerformanceEntity,,hrm,hcm_bi_performance_entity,Relationship_HRMCompPerfPlanRelationshipId
HRM,HcmApplicantProjectRoleEntity,HcmApplicantProjectRoleEntity.1.2.cdm.json/HcmApplicantProjectRoleEntity,,hrm,hcm_applicant_project_role_entity,Relationship_PersonRelationshipId
HRM,HcmWorkerGroupEntity,HcmWorkerGroupEntity.1.2.cdm.json/HcmWorkerGroupEntity,,hrm,hcm_worker_group_entity,Relationship_OffsetLedgerDimensionRelationshipId
HRM,HcmEmploymentContractorEntity_Internal,HcmEmploymentContractorEntity_Internal.1.1.1.cdm.json/HcmEmploymentContractorEntity_Internal,,hrm,hcm_employment_contractor_entity_internal,Relationship_DimensionDimensionSetRelationshipId
HRM,HcmWorkerProjectRoleEntity,HcmWorkerProjectRoleEntity.1.2.cdm.json/HcmWorkerProjectRoleEntity,,hrm,hcm_worker_project_role_entity,Relationship_PersonRelationshipId
HRM,PayrollBankAccountDisbursementEntity,PayrollBankAccountDisbursementEntity.1.1.1.cdm.json/PayrollBankAccountDisbursementEntity,,hrm,payroll_bank_account_disbursement_entity,Relationship_WorkerRelationshipId
HRM,HcmPositionHierarchyTypeEntity,HcmPositionHierarchyTypeEntity.1.0.1.cdm.json/HcmPositionHierarchyTypeEntity,,hrm,hcm_position_hierarchy_type_entity,
HRM,HcmPositionDefaultDimensionEntity,HcmPositionDefaultDimensionEntity.1.2.cdm.json/HcmPositionDefaultDimensionEntity,,hrm,hcm_position_default_dimension_entity,Relationship_MainAccountRelationshipId
