cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
InventoryAndAdvancedWarehouse,RetailInventoryLinkedItemEntity,RetailInventoryLinkedItemEntity.1.1.cdm.json/RetailInventoryLinkedItemEntity,,inventory_and_advanced_warehouse,retail_inventory_linked_item_entity,Relationship_DefaultFinancialDimensionsDimensionSetRelationshipId
InventoryAndAdvancedWarehouse,RetailInventItemLabelReportSetupEntity,RetailInventItemLabelReportSetupEntity.1.1.cdm.json/RetailInventItemLabelReportSetupEntity,,inventory_and_advanced_warehouse,retail_invent_item_label_report_setup_entity,Relationship_CompanyRelationshipId
InventoryAndAdvancedWarehouse,RetailStoreSectionEntity,RetailStoreSectionEntity.1.1.cdm.json/RetailStoreSectionEntity,,inventory_and_advanced_warehouse,retail_store_section_entity,Relationship_RetailStoreTableRelationshipId
InventoryAndAdvancedWarehouse,RetailBuyersPushLineQuantityEntity,RetailBuyersPushLineQuantityEntity.1.1.cdm.json/RetailBuyersPushLineQuantityEntity,,inventory_and_advanced_warehouse,retail_buyers_push_line_quantity_entity,Relationship_InventLocationRelationshipId
InventoryAndAdvancedWarehouse,RetailReplenishmentRuleEntity,RetailReplenishmentRuleEntity.1.1.cdm.json/RetailReplenishmentRuleEntity,,inventory_and_advanced_warehouse,retail_replenishment_rule_entity,Relationship_CompanyRelationshipId
InventoryAndAdvancedWarehouse,RetailBuyersPushEntity,RetailBuyersPushEntity.1.1.cdm.json/RetailBuyersPushEntity,,inventory_and_advanced_warehouse,retail_buyers_push_entity,Relationship_InventLocationRelationshipId
InventoryAndAdvancedWarehouse,RetailInventItemBarcodeEntity,RetailInventItemBarcodeEntity.1.0.1.cdm.json/RetailInventItemBarcodeEntity,,inventory_and_advanced_warehouse,retail_invent_item_barcode_entity,Relationship_BarcodeSetupRelationshipId
InventoryAndAdvancedWarehouse,RetailCrossDockLineEntity,RetailCrossDockLineEntity.1.1.cdm.json/RetailCrossDockLineEntity,,inventory_and_advanced_warehouse,retail_cross_dock_line_entity,Relationship_InventDimRelationshipId
InventoryAndAdvancedWarehouse,RetailBuyersPushLineEntity,RetailBuyersPushLineEntity.1.1.cdm.json/RetailBuyersPushLineEntity,,inventory_and_advanced_warehouse,retail_buyers_push_line_entity,Relationship_InventDimRelationshipId
InventoryAndAdvancedWarehouse,RetailReplenishmentRuleLineV2Entity,RetailReplenishmentRuleLineV2Entity.1.1.cdm.json/RetailReplenishmentRuleLineV2Entity,,inventory_and_advanced_warehouse,retail_replenishment_rule_line_v2_entity,BackingTable_DirPartyBaseEntityRelationshipId
InventoryAndAdvancedWarehouse,RetailStoreSection2Entity,RetailStoreSection2Entity.1.1.cdm.json/RetailStoreSection2Entity,,inventory_and_advanced_warehouse,retail_store_section2_entity,Relationship_RetailStoreTableRelationshipId
InventoryAndAdvancedWarehouse,RetailInventoryItemSectionLocationEntity,RetailInventoryItemSectionLocationEntity.1.1.cdm.json/RetailInventoryItemSectionLocationEntity,,inventory_and_advanced_warehouse,retail_inventory_item_section_location_entity,BackingTable_InventTableRelationshipId
InventoryAndAdvancedWarehouse,RetailCrossDockEntity,RetailCrossDockEntity.1.1.cdm.json/RetailCrossDockEntity,,inventory_and_advanced_warehouse,retail_cross_dock_entity,Relationship_InventLocationRelationshipId
InventoryAndAdvancedWarehouse,RetailStoreShelfEntity,RetailStoreShelfEntity.1.1.cdm.json/RetailStoreShelfEntity,,inventory_and_advanced_warehouse,retail_store_shelf_entity,Relationship_RetailStoreEntityRelationshipId
InventoryAndAdvancedWarehouse,RetailCrossDockLineQuantityEntity,RetailCrossDockLineQuantityEntity.1.1.cdm.json/RetailCrossDockLineQuantityEntity,,inventory_and_advanced_warehouse,retail_cross_dock_line_quantity_entity,Relationship_InventLocationRelationshipId
