cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
InventoryAndWarehouseManagement,BOMBillOfMaterialsJournalNameEntity,BOMBillOfMaterialsJournalNameEntity.1.2.cdm.json/BOMBillOfMaterialsJournalNameEntity,,inventory_and_warehouse_management,bom_bill_of_materials_journal_name_entity,Relationship_BlockingUserGroupRelationshipId
InventoryAndWarehouseManagement,WHSWarehouseWorkerEntity,WHSWarehouseWorkerEntity.1.2.cdm.json/WHSWarehouseWorkerEntity,,inventory_and_warehouse_management,whs_warehouse_worker_entity,Relationship_WarehouseRelationshipId
InventoryAndWarehouseManagement,InventInventoryProfileCustomerVendorLedgerEntity,InventInventoryProfileCustomerVendorLedgerEntity.1.2.cdm.json/InventInventoryProfileCustomerVendorLedgerEntity,,inventory_and_warehouse_management,invent_inventory_profile_customer_vendor_ledger_entity,Relationship_CustLedgerRelationshipId
InventoryAndWarehouseManagement,InventTrackingNumberGroupEntity,InventTrackingNumberGroupEntity.1.2.cdm.json/InventTrackingNumberGroupEntity,,inventory_and_warehouse_management,invent_tracking_number_group_entity,Relationship_NumberSequenceTableRelationshipId
InventoryAndWarehouseManagement,InventInventoryMovementJournalHeaderEntity,InventInventoryMovementJournalHeaderEntity.1.2.cdm.json/InventInventoryMovementJournalHeaderEntity,,inventory_and_warehouse_management,invent_inventory_movement_journal_header_entity,Relationship_BlockingUserGroupRelationshipId
InventoryAndWarehouseManagement,WHSWaveLabelTemplateV2Entity,WHSWaveLabelTemplateV2Entity.1.2.cdm.json/WHSWaveLabelTemplateV2Entity,,inventory_and_warehouse_management,whs_wave_label_template_v2_entity,Relationship_InventLocationRelationshipId
InventoryAndWarehouseManagement,WHSWaveLabelLayoutRowSettingsEntity,WHSWaveLabelLayoutRowSettingsEntity.1.1.1.cdm.json/WHSWaveLabelLayoutRowSettingsEntity,,inventory_and_warehouse_management,whs_wave_label_layout_row_settings_entity,Relationship_WHSWaveLabelLayoutRelationshipId
InventoryAndWarehouseManagement,InventQualityTestInstrumentEntity,InventQualityTestInstrumentEntity.1.2.cdm.json/InventQualityTestInstrumentEntity,,inventory_and_warehouse_management,invent_quality_test_instrument_entity,Relationship_CompanyRelationshipId
InventoryAndWarehouseManagement,InventSiteGateEntryLineEntity,InventSiteGateEntryLineEntity.1.2.cdm.json/InventSiteGateEntryLineEntity,,inventory_and_warehouse_management,invent_site_gate_entry_line_entity,Relationship_InventDimRelationshipId
InventoryAndWarehouseManagement,WHSQualityCheckTemplateEntity,WHSQualityCheckTemplateEntity.1.2.cdm.json/WHSQualityCheckTemplateEntity,,inventory_and_warehouse_management,whs_quality_check_template_entity,Relationship_InventTestGroupRelationshipId
InventoryAndWarehouseManagement,InventDestinationWarehouseDeliveryModeTransportationTimeEntity,InventDestinationWarehouseDeliveryModeTransportationTimeEntity.1.2.cdm.json/InventDestinationWarehouseDeliveryModeTransportationTimeEntity,,inventory_and_warehouse_management,invent_destination_warehouse_delivery_mode_transportation_time_entity,Relationship_CustVendTransportPointLineRelationshipId
InventoryAndWarehouseManagement,CostCalculationGroupEntity,CostCalculationGroupEntity.1.2.cdm.json/CostCalculationGroupEntity,,inventory_and_warehouse_management,cost_calculation_group_entity,Relationship_CompanyRelationshipId
InventoryAndWarehouseManagement,ConsignmentLegalEntityInventoryOwnerEntity,ConsignmentLegalEntityInventoryOwnerEntity.1.2.cdm.json/ConsignmentLegalEntityInventoryOwnerEntity,,inventory_and_warehouse_management,consignment_legal_entity_inventory_owner_entity,Relationship_AgreementHeaderExtRelationshipId
InventoryAndWarehouseManagement,InventItemPendingPriceEntity,InventItemPendingPriceEntity.1.2.cdm.json/InventItemPendingPriceEntity,,inventory_and_warehouse_management,invent_item_pending_price_entity,Relationship_BOMCalcTableRelationshipId
InventoryAndWarehouseManagement,InventItemPriceComparisonStorageEntity,InventItemPriceComparisonStorageEntity.1.2.cdm.json/InventItemPriceComparisonStorageEntity,,inventory_and_warehouse_management,invent_item_price_comparison_storage_entity,Relationship_BOMCostGroupRelationshipId
InventoryAndWarehouseManagement,InventNonConformanceOperationCategoryEntity,InventNonConformanceOperationCategoryEntity.1.2.cdm.json/InventNonConformanceOperationCategoryEntity,,inventory_and_warehouse_management,invent_non_conformance_operation_category_entity,Relationship_CompanyRelationshipId
InventoryAndWarehouseManagement,InventInventoryProfileRelationEntity,InventInventoryProfileRelationEntity.1.2.cdm.json/InventInventoryProfileRelationEntity,,inventory_and_warehouse_management,invent_inventory_profile_relation_entity,Relationship_InventProfileRelationshipId
