cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
LoanOnboardingDataModel CDM manifest,Contact,Contact.1.0.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",loan_onboarding_data_model_cd_mmanifest,contact,contactId
LoanOnboardingDataModel CDM manifest,ApplicationDocument,Applicationdocument.1.1.cdm.json/ApplicationDocument,Document filled out by a potential borrower to apply for a loan; provides financial and other information to the lender.,loan_onboarding_data_model_cd_mmanifest,application_document,applicationDocumentId
LoanOnboardingDataModel CDM manifest,Bank,Bank.1.0.cdm.json/Bank,The bank that the branch is associated with.,loan_onboarding_data_model_cd_mmanifest,bank,bankId
LoanOnboardingDataModel CDM manifest,CustomDocument,Customdocument.1.0.cdm.json/CustomDocument,"Any document that is requested by or accepted by the bank, e.g. for the borrower's loan application.",loan_onboarding_data_model_cd_mmanifest,custom_document,customDocumentId
LoanOnboardingDataModel CDM manifest,Collateral,Collateral.1.1.cdm.json/Collateral, An asset that a lender accepts as security for a loan.,loan_onboarding_data_model_cd_mmanifest,collateral,collateralId
LoanOnboardingDataModel CDM manifest,CreditCheck,Creditcheck.1.1.cdm.json/CreditCheck,A process of checking the customer's financial history and financial behavior.,loan_onboarding_data_model_cd_mmanifest,credit_check,creditCheckId
LoanOnboardingDataModel CDM manifest,Employment,Employment.1.1.cdm.json/Employment,"Describes the loan contact's job or place of work, or work history.",loan_onboarding_data_model_cd_mmanifest,employment,employmentId
LoanOnboardingDataModel CDM manifest,KnowYourCustomer,Kyc.1.1.cdm.json/KnowYourCustomer,Reference to Know Your Customer entity.,loan_onboarding_data_model_cd_mmanifest,know_your_customer,
LoanOnboardingDataModel CDM manifest,LoanApplication,Loanapplication.1.1.cdm.json/LoanApplication,Document filled out by a potential borrower to apply for a loan; provides financial and other information to the lender.,loan_onboarding_data_model_cd_mmanifest,loan_application,loanApplicationId
LoanOnboardingDataModel CDM manifest,LoanApplicationAsset,Loanapplicationasset.1.1.cdm.json/LoanApplicationAsset,Asset associated with the loan application.,loan_onboarding_data_model_cd_mmanifest,loan_application_asset,loanApplicationAssetId
LoanOnboardingDataModel CDM manifest,LoanApplicationCollateral,Loanapplicationcollateral.1.1.cdm.json/LoanApplicationCollateral,Collateral associated with the loan application.,loan_onboarding_data_model_cd_mmanifest,loan_application_collateral,loanApplicationCollateralId
LoanOnboardingDataModel CDM manifest,LoanApplicationCollateralValuation,Loanapplicationcollateralvaluation.1.1.cdm.json/LoanApplicationCollateralValuation,Valuation associated with a collateral of the loan application.,loan_onboarding_data_model_cd_mmanifest,loan_application_collateral_valuation,loanApplicationCollateralValuationId
LoanOnboardingDataModel CDM manifest,LoanApplicationContact,Loanapplicationcontact.1.1.cdm.json/LoanApplicationContact,The customer associated with the loan application.,loan_onboarding_data_model_cd_mmanifest,loan_application_contact,loanApplicationContactId
LoanOnboardingDataModel CDM manifest,LoanApplicationContactAsset,Loanapplicationcontactasset.1.1.cdm.json/LoanApplicationContactAsset,Application contact associated with the application asset.,loan_onboarding_data_model_cd_mmanifest,loan_application_contact_asset,loanApplicationContactAssetId
LoanOnboardingDataModel CDM manifest,LoanApplicationContactLiability,Loanapplicationcontactliability.1.1.cdm.json/LoanApplicationContactLiability,Application contact associated with the application liability.,loan_onboarding_data_model_cd_mmanifest,loan_application_contact_liability,loanApplicationContactLiabilityId
LoanOnboardingDataModel CDM manifest,LoanApplicationLiability,Loanapplicationliability.1.1.cdm.json/LoanApplicationLiability,Liability associated with the loan application.,loan_onboarding_data_model_cd_mmanifest,loan_application_liability,loanApplicationLiabilityId
