cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
MedicationCore,MedicalIdentifier,MedicalIdentifier.1.2.cdm.json/MedicalIdentifier,,medication_core,medical_identifier,createdBy
MedicationCore,MedicationAdministrationDefinition,MedicationAdministrationDefinition.1.2.cdm.json/MedicationAdministrationDefinition,"A protocol, guideline, order set or other definition that was adhered to in whole or in part by this event.",medication_core,medication_administration_definition,createdBy
MedicationCore,MedicationAdministrationDevice,MedicationAdministrationDevice.1.2.cdm.json/MedicationAdministrationDevice,"The device used in administering the medication to the patient. For example, a particular infusion pump.",medication_core,medication_administration_device,createdBy
MedicationCore,MedicationAdministrationEventHistory,MedicationAdministrationEventHistory.1.2.cdm.json/MedicationAdministrationEventHistory,"A summary of the events of interest that have occurred, such as when the administration was verified.",medication_core,medication_administration_event_history,createdBy
MedicationCore,MedicationAdministrationPartOf,MedicationAdministrationPartOf.1.2.cdm.json/MedicationAdministrationPartOf,A larger event of which this particular event is a component or step.,medication_core,medication_administration_part_of,createdBy
MedicationCore,MedicationAdministrationPerformer,MedicationAdministrationPerformer.1.2.cdm.json/MedicationAdministrationPerformer,The individual who was responsible for giving the medication to the patient.,medication_core,medication_administration_performer,createdBy
MedicationCore,MedicationAdministrationReasonCode,MedicationAdministrationReasonCode.1.2.cdm.json/MedicationAdministrationReasonCode,A code indicating why the medication was given.,medication_core,medication_administration_reason_code,createdBy
MedicationCore,MedicationAdministrationReasonNotGiven,MedicationAdministrationReasonNotGiven.1.2.cdm.json/MedicationAdministrationReasonNotGiven,A code indicating why the administration was not performed.,medication_core,medication_administration_reason_not_given,createdBy
MedicationCore,MedicationAdministrationReasonReference,MedicationAdministrationReasonReference.1.1.cdm.json/MedicationAdministrationReasonReference,Condition or observation that supports why the medication was administered.,medication_core,medication_administration_reason_reference,createdBy
MedicationCore,MedicationAdministrationSupportingInformation,MedicationAdministrationSupportingInformation.1.2.cdm.json/MedicationAdministrationSupportingInformation,"Additional information (for example, patient height and weight) that supports the administration of the medication.",medication_core,medication_administration_supporting_information,createdBy
MedicationCore,MedicationCode,MedicationCode.1.1.cdm.json/MedicationCode,,medication_core,medication_code,createdBy
MedicationCore,MedicationForm,MedicationForm.1.1.cdm.json/MedicationForm,Describes the form of the item. Powder; tablets; capsule.,medication_core,medication_form,createdBy
MedicationCore,MedicationImage,MedicationImage.1.2.cdm.json/MedicationImage,Photo(s) or graphic representation(s) of the medication.,medication_core,medication_image,createdBy
MedicationCore,MedicationIngredient,MedicationIngredient.1.2.cdm.json/MedicationIngredient,Identifies a particular constituent of interest in the product.,medication_core,medication_ingredient,createdBy
MedicationCore,MedicationPackageBatch,MedicationPackageBatch.1.2.cdm.json/MedicationPackageBatch,Information about a group of medication produced or packaged from one production run.,medication_core,medication_package_batch,createdBy
MedicationCore,MedicationPackageContent,MedicationPackageContent.1.2.cdm.json/MedicationPackageContent,A set of components that go to make up the described item.,medication_core,medication_package_content,createdBy
MedicationCore,MedicationRequestBasedOn,MedicationRequestBasedOn.1.2.cdm.json/MedicationRequestBasedOn,A plan or request that is fulfilled in whole or in part by this medication request.,medication_core,medication_request_based_on,createdBy
MedicationCore,MedicationRequestDefinition,MedicationRequestDefinition.1.2.cdm.json/MedicationRequestDefinition,Protocol or definition followed by this request.,medication_core,medication_request_definition,createdBy
MedicationCore,MedicationRequestDetectedIssue,MedicationRequestDetectedIssue.1.2.cdm.json/MedicationRequestDetectedIssue,"Indicates an actual or potential clinical issue with or between one or more active or proposed clinical actions for a patient; e.g. Drug-drug interaction, duplicate therapy, dosage alert etc.",medication_core,medication_request_detected_issue,createdBy
MedicationCore,MedicationRequestDosageInstruction,MedicationRequestDosageInstruction.1.1.cdm.json/MedicationRequestDosageInstruction,Indicates how the medication is to be used by the patient.,medication_core,medication_request_dosage_instruction,createdBy
MedicationCore,MedicationRequestEventHistory,MedicationRequestEventHistory.1.2.cdm.json/MedicationRequestEventHistory,Links to Provenance records for past versions of this entity that identify key state transitions or updates that are likely to be relevant to user looking at the current version of the entity.,medication_core,medication_request_event_history,createdBy
MedicationCore,MedicationRequestReasonCode,MedicationRequestReasonCode.1.2.cdm.json/MedicationRequestReasonCode,The reason or the indication for ordering the medication.,medication_core,medication_request_reason_code,createdBy
MedicationCore,MedicationRequestReasonReference,MedicationRequestReasonReference.1.2.cdm.json/MedicationRequestReasonReference,Condition or observation that supports why the medication was ordered.,medication_core,medication_request_reason_reference,createdBy
MedicationCore,MedicationRequestSupportingInfo,MedicationRequestSupportingInfo.1.2.cdm.json/MedicationRequestSupportingInfo,"Include additional information (for example, patient height and weight) that supports the ordering of the medication.",medication_core,medication_request_supporting_info,createdBy
